date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-31,US,OR_Lane_County,-83,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,OR_Lane_County,-82,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,OR_Lane_County,-81,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,OR_Lane_County,-80,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,OR_Lane_County,-79,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,OR_Lane_County,-78,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,OR_Lane_County,-77,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,OR_Lane_County,-76,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,OR_Lane_County,-75,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,OR_Lane_County,-74,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,OR_Lane_County,-73,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,OR_Lane_County,-72,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,OR_Lane_County,-71,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,OR_Lane_County,-70,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,OR_Lane_County,-69,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,OR_Lane_County,-68,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,OR_Lane_County,-67,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,OR_Lane_County,-66,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,OR_Lane_County,-65,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,OR_Lane_County,-64,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,OR_Lane_County,-63,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,OR_Lane_County,-62,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,OR_Lane_County,-61,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,OR_Lane_County,-60,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
