date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,PA_Lycoming_County,-53,0,0,,,,,,
2020-01-25,US,PA_Lycoming_County,-52,0,0,,,,,,
2020-01-27,US,PA_Lycoming_County,-51,0,0,,,,,,
2020-01-29,US,PA_Lycoming_County,-50,0,0,,,,,,
2020-01-31,US,PA_Lycoming_County,-49,0,0,,,,,,
2020-02-02,US,PA_Lycoming_County,-48,0,0,,,,,,
2020-02-04,US,PA_Lycoming_County,-47,0,0,,,,,,
2020-02-06,US,PA_Lycoming_County,-46,0,0,,,,,,
2020-02-08,US,PA_Lycoming_County,-45,0,0,,,,,,
2020-02-10,US,PA_Lycoming_County,-44,0,0,,,,,,
2020-02-12,US,PA_Lycoming_County,-43,0,0,,,,,,
2020-02-14,US,PA_Lycoming_County,-42,0,0,,,,,,
2020-02-16,US,PA_Lycoming_County,-41,0,0,,,,,,
2020-02-18,US,PA_Lycoming_County,-40,0,0,,,,,,
2020-02-20,US,PA_Lycoming_County,-39,0,0,,,,,,
2020-02-22,US,PA_Lycoming_County,-38,0,0,,,,,,
2020-02-24,US,PA_Lycoming_County,-37,0,0,,,,,,
2020-02-26,US,PA_Lycoming_County,-36,0,0,,,,,,
2020-02-28,US,PA_Lycoming_County,-35,0,0,,,,,,
2020-03-01,US,PA_Lycoming_County,-34,0,0,,,,,,
2020-03-03,US,PA_Lycoming_County,-33,0,0,,,,,,
2020-03-05,US,PA_Lycoming_County,-32,0,0,,,,,,
2020-03-07,US,PA_Lycoming_County,-31,0,0,,,,,,
2020-03-09,US,PA_Lycoming_County,-30,0,0,,,,,,
2020-03-11,US,PA_Lycoming_County,-29,0,0,,,,,,
2020-03-13,US,PA_Lycoming_County,-28,0,0,,,,,,
2020-03-15,US,PA_Lycoming_County,-27,0,0,,,,,,
2020-03-17,US,PA_Lycoming_County,-26,0,0,,,,,,
2020-03-19,US,PA_Lycoming_County,-25,0,0,,,,,,
2020-03-21,US,PA_Lycoming_County,-24,0,0,,,,,,
2020-03-23,US,PA_Lycoming_County,-23,0,0,,,,,,
2020-03-25,US,PA_Lycoming_County,-22,1,0,,,,,,
2020-03-27,US,PA_Lycoming_County,-21,2,0,,,,,,
2020-03-29,US,PA_Lycoming_County,-20,3,0,,,,,,
2020-03-31,US,PA_Lycoming_County,-19,6,0,,,,,,
2020-04-02,US,PA_Lycoming_County,-18,7,0,,,,,,
2020-04-04,US,PA_Lycoming_County,-17,9,0,,,,,,
2020-04-06,US,PA_Lycoming_County,-16,10,0,,,,,,
2020-04-08,US,PA_Lycoming_County,-15,15,0,,,,,,
2020-04-10,US,PA_Lycoming_County,-14,18,0,,,,,,
2020-04-12,US,PA_Lycoming_County,-13,23,0,,,,,,
2020-04-14,US,PA_Lycoming_County,-12,29,0,,,,,,
2020-04-16,US,PA_Lycoming_County,-11,30,0,,,,,,
2020-04-18,US,PA_Lycoming_County,-10,36,0,,,,,,
2020-04-20,US,PA_Lycoming_County,-9,40,0,,,,,,
2020-04-22,US,PA_Lycoming_County,-8,43,0,,,,,,
2020-04-24,US,PA_Lycoming_County,-7,48,0,,,,,,
2020-04-26,US,PA_Lycoming_County,-6,55,0,,,,,,
