date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,SC_Spartanburg_County,-38,0,0,,,,,,
2020-01-25,US,SC_Spartanburg_County,-37,0,0,,,,,,
2020-01-27,US,SC_Spartanburg_County,-36,0,0,,,,,,
2020-01-29,US,SC_Spartanburg_County,-35,0,0,,,,,,
2020-01-31,US,SC_Spartanburg_County,-34,0,0,,,,,,
2020-02-02,US,SC_Spartanburg_County,-33,0,0,,,,,,
2020-02-04,US,SC_Spartanburg_County,-32,0,0,,,,,,
2020-02-06,US,SC_Spartanburg_County,-31,0,0,,,,,,
2020-02-08,US,SC_Spartanburg_County,-30,0,0,,,,,,
2020-02-10,US,SC_Spartanburg_County,-29,0,0,,,,,,
2020-02-12,US,SC_Spartanburg_County,-28,0,0,,,,,,
2020-02-14,US,SC_Spartanburg_County,-27,0,0,,,,,,
2020-02-16,US,SC_Spartanburg_County,-26,0,0,,,,,,
2020-02-18,US,SC_Spartanburg_County,-25,0,0,,,,,,
2020-02-20,US,SC_Spartanburg_County,-24,0,0,,,,,,
2020-02-22,US,SC_Spartanburg_County,-23,0,0,,,,,,
2020-02-24,US,SC_Spartanburg_County,-22,0,0,,,,,,
2020-02-26,US,SC_Spartanburg_County,-21,0,0,,,,,,
2020-02-28,US,SC_Spartanburg_County,-20,0,0,,,,,,
2020-03-01,US,SC_Spartanburg_County,-19,0,0,,,,,,
2020-03-03,US,SC_Spartanburg_County,-18,0,0,,,,,,
2020-03-05,US,SC_Spartanburg_County,-17,0,0,,,,,,
2020-03-07,US,SC_Spartanburg_County,-16,0,0,,,,,,
2020-03-09,US,SC_Spartanburg_County,-15,1,0,,,,,,
2020-03-11,US,SC_Spartanburg_County,-14,1,0,,,,,,
2020-03-13,US,SC_Spartanburg_County,-13,1,0,,,,,,
2020-03-15,US,SC_Spartanburg_County,-12,1,0,,,,,,
2020-03-17,US,SC_Spartanburg_County,-11,1,0,,,,,,
2020-03-19,US,SC_Spartanburg_County,-10,1,0,,,,,,
2020-03-21,US,SC_Spartanburg_County,-9,2,0,,,,,,
2020-03-23,US,SC_Spartanburg_County,-8,3,0,,,,,,
2020-03-25,US,SC_Spartanburg_County,-7,9,0,,,,,,
2020-03-27,US,SC_Spartanburg_County,-6,16,0,,,,,,
2020-03-29,US,SC_Spartanburg_County,-5,25,0,,,,,,
2020-03-31,US,SC_Spartanburg_County,-4,37,0,,,,,,
2020-04-02,US,SC_Spartanburg_County,-3,50,0,,,,,,
2020-04-04,US,SC_Spartanburg_County,-2,72,0,,,,,,
2020-04-06,US,SC_Spartanburg_County,-1,88,1,,,,,,
2020-04-08,US,SC_Spartanburg_County,0,126,4,,,,,,
2020-04-10,US,SC_Spartanburg_County,1,150,4,,,,,,
2020-04-12,US,SC_Spartanburg_County,2,174,4,,,,,,
2020-04-14,US,SC_Spartanburg_County,3,190,4,,,,,,
2020-04-16,US,SC_Spartanburg_County,4,199,5,,,,,,
2020-04-18,US,SC_Spartanburg_County,5,211,5,,,,,,
2020-04-20,US,SC_Spartanburg_County,6,219,5,,,,,,
2020-04-22,US,SC_Spartanburg_County,7,227,7,,,,,,
2020-04-24,US,SC_Spartanburg_County,8,238,8,,,,,,
2020-04-26,US,SC_Spartanburg_County,9,243,8,,,,,,
2020-04-28,US,SC_Spartanburg_County,10,258,8,,,,,,
2020-04-30,US,SC_Spartanburg_County,11,287,9,,,,,,
2020-05-02,US,SC_Spartanburg_County,12,302,11,,,,,,
2020-05-04,US,SC_Spartanburg_County,13,315,12,,,,,,
2020-05-06,US,SC_Spartanburg_County,14,318,12,,,,,,
2020-05-08,US,SC_Spartanburg_County,15,333,12,,,,,,
2020-05-10,US,SC_Spartanburg_County,16,343,12,,,,,,
2020-05-12,US,SC_Spartanburg_County,17,351,13,,,,,,
2020-05-14,US,SC_Spartanburg_County,18,358,13,,,,,,
2020-05-16,US,SC_Spartanburg_County,19,383,13,,,,,,
2020-05-18,US,SC_Spartanburg_County,20,407,13,,,,,,
2020-05-20,US,SC_Spartanburg_County,21,415,13,,,,,,
2020-05-22,US,SC_Spartanburg_County,22,439,16,,,,,,
2020-05-24,US,SC_Spartanburg_County,23,471,17,,,,,,
2020-05-26,US,SC_Spartanburg_County,24,512,18,,,,,,
2020-05-28,US,SC_Spartanburg_County,25,534,19,,,,,,
2020-05-30,US,SC_Spartanburg_County,26,617,20,,,,,,
2020-06-01,US,SC_Spartanburg_County,27,637,20,,,,,,
2020-06-03,US,SC_Spartanburg_County,28,650,23,,,,,,
2020-06-05,US,SC_Spartanburg_County,29,701,30,,,,,,
2020-06-07,US,SC_Spartanburg_County,30,782,30,,,,,,
2020-06-09,US,SC_Spartanburg_County,31,825,31,,,,,,
2020-06-11,US,SC_Spartanburg_County,32,843,36,,,,,,
2020-06-13,US,SC_Spartanburg_County,33,938,36,,,,,,
2020-06-15,US,SC_Spartanburg_County,34,992,36,,,,,,
2020-06-17,US,SC_Spartanburg_County,35,1046,36,,,,,,
2020-06-19,US,SC_Spartanburg_County,36,1146,38,,,,,,
2020-06-21,US,SC_Spartanburg_County,37,1200,39,,,,,,
2020-06-23,US,SC_Spartanburg_County,38,1257,42,,,,,,
2020-06-25,US,SC_Spartanburg_County,39,1312,44,,,,,,
2020-06-27,US,SC_Spartanburg_County,40,1427,44,,,,,,
2020-06-29,US,SC_Spartanburg_County,41,1543,45,,,,,,
2020-07-01,US,SC_Spartanburg_County,42,1662,47,,,,,,
2020-07-03,US,SC_Spartanburg_County,43,1797,48,,,,,,
2020-07-05,US,SC_Spartanburg_County,44,1891,51,,,,,,
2020-07-07,US,SC_Spartanburg_County,45,2008,51,,,,,,
2020-07-09,US,SC_Spartanburg_County,46,2157,57,,,,,,
2020-07-11,US,SC_Spartanburg_County,47,2362,57,,,,,,
2020-07-13,US,SC_Spartanburg_County,48,2561,57,,,,,,
2020-07-15,US,SC_Spartanburg_County,49,2745,57,,,,,,
2020-07-17,US,SC_Spartanburg_County,50,2904,60,,,,,,
2020-07-19,US,SC_Spartanburg_County,51,3038,62,,,,,,
2020-07-21,US,SC_Spartanburg_County,52,3163,66,,,,,,
2020-07-23,US,SC_Spartanburg_County,53,3295,68,,,,,,
2020-07-25,US,SC_Spartanburg_County,54,3402,73,,,,,,
2020-07-27,US,SC_Spartanburg_County,55,3447,74,,,,,,
2020-07-29,US,SC_Spartanburg_County,56,3541,80,,,,,,
2020-07-31,US,SC_Spartanburg_County,57,3653,81,,,,,,
2020-08-02,US,SC_Spartanburg_County,58,3738,84,,,,,,
2020-08-04,US,SC_Spartanburg_County,59,3834,90,,,,,,
2020-08-06,US,SC_Spartanburg_County,60,3956,92,,,,,,
2020-08-08,US,SC_Spartanburg_County,61,4052,92,,,,,,
2020-08-10,US,SC_Spartanburg_County,62,4100,102,,,,,,
2020-08-12,US,SC_Spartanburg_County,63,4299,111,,,,,,
2020-08-14,US,SC_Spartanburg_County,64,4335,111,,,,,,
2020-08-16,US,SC_Spartanburg_County,65,4389,114,,,,,,
2020-08-18,US,SC_Spartanburg_County,66,4469,118,,,,,,
2020-08-20,US,SC_Spartanburg_County,67,4559,123,,,,,,
2020-08-22,US,SC_Spartanburg_County,68,4685,127,,,,,,
2020-08-24,US,SC_Spartanburg_County,69,4715,127,,,,,,
2020-08-26,US,SC_Spartanburg_County,70,4804,132,,,,,,
2020-01-22,US,SC_Spartanburg_County,69,0,0,,,,,,
2020-01-24,US,SC_Spartanburg_County,68,0,0,,,,,,
2020-01-26,US,SC_Spartanburg_County,67,0,0,,,,,,
2020-01-28,US,SC_Spartanburg_County,66,0,0,,,,,,
2020-01-30,US,SC_Spartanburg_County,65,0,0,,,,,,
2020-02-01,US,SC_Spartanburg_County,64,0,0,,,,,,
2020-02-03,US,SC_Spartanburg_County,63,0,0,,,,,,
2020-02-05,US,SC_Spartanburg_County,62,0,0,,,,,,
2020-02-07,US,SC_Spartanburg_County,61,0,0,,,,,,
2020-02-09,US,SC_Spartanburg_County,60,0,0,,,,,,
2020-02-11,US,SC_Spartanburg_County,59,0,0,,,,,,
2020-02-13,US,SC_Spartanburg_County,58,0,0,,,,,,
2020-02-15,US,SC_Spartanburg_County,57,0,0,,,,,,
2020-02-17,US,SC_Spartanburg_County,56,0,0,,,,,,
2020-02-19,US,SC_Spartanburg_County,55,0,0,,,,,,
2020-02-21,US,SC_Spartanburg_County,54,0,0,,,,,,
2020-02-23,US,SC_Spartanburg_County,53,0,0,,,,,,
2020-02-25,US,SC_Spartanburg_County,52,0,0,,,,,,
2020-02-27,US,SC_Spartanburg_County,51,0,0,,,,,,
2020-02-29,US,SC_Spartanburg_County,50,0,0,,,,,,
2020-03-02,US,SC_Spartanburg_County,49,0,0,,,,,,
2020-03-04,US,SC_Spartanburg_County,48,0,0,,,,,,
2020-03-06,US,SC_Spartanburg_County,47,0,0,,,,,,
2020-03-08,US,SC_Spartanburg_County,46,1,0,,,,,,
2020-03-10,US,SC_Spartanburg_County,45,1,0,,,,,,
