date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-20,US,SD_Pennington_County,-32,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,SD_Pennington_County,-31,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,SD_Pennington_County,-30,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,SD_Pennington_County,-29,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,SD_Pennington_County,-28,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,SD_Pennington_County,-27,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,SD_Pennington_County,-26,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,SD_Pennington_County,-25,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,SD_Pennington_County,-24,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,SD_Pennington_County,-23,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,SD_Pennington_County,-22,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,SD_Pennington_County,-21,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,SD_Pennington_County,-20,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,SD_Pennington_County,-19,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,SD_Pennington_County,-18,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,SD_Pennington_County,-17,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,SD_Pennington_County,-16,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,SD_Pennington_County,-15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,SD_Pennington_County,-14,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
