date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,Seattle_Tacoma_Bellevue_WA,-46,0,0,,,,,,
2020-01-23,US,Seattle_Tacoma_Bellevue_WA,-45,0,0,,,,,,
2020-01-24,US,Seattle_Tacoma_Bellevue_WA,-44,0,0,,,,,,
2020-01-25,US,Seattle_Tacoma_Bellevue_WA,-43,0,0,,,,,,
2020-01-26,US,Seattle_Tacoma_Bellevue_WA,-42,0,0,,,,,,
2020-01-27,US,Seattle_Tacoma_Bellevue_WA,-41,0,0,,,,,,
2020-01-28,US,Seattle_Tacoma_Bellevue_WA,-40,0,0,,,,,,
2020-01-29,US,Seattle_Tacoma_Bellevue_WA,-39,0,0,,,,,,
2020-01-30,US,Seattle_Tacoma_Bellevue_WA,-38,0,0,,,,,,
2020-01-31,US,Seattle_Tacoma_Bellevue_WA,-37,0,0,,,,,,
2020-02-01,US,Seattle_Tacoma_Bellevue_WA,-36,0,0,,,,,,
2020-02-02,US,Seattle_Tacoma_Bellevue_WA,-35,0,0,,,,,,
2020-02-03,US,Seattle_Tacoma_Bellevue_WA,-34,0,0,,,,,,
2020-02-04,US,Seattle_Tacoma_Bellevue_WA,-33,0,0,,,,,,
2020-02-05,US,Seattle_Tacoma_Bellevue_WA,-32,0,0,,,,,,
2020-02-06,US,Seattle_Tacoma_Bellevue_WA,-31,0,0,,,,,,
2020-02-07,US,Seattle_Tacoma_Bellevue_WA,-30,0,0,,,,,,
2020-02-08,US,Seattle_Tacoma_Bellevue_WA,-29,0,0,,,,,,
2020-02-09,US,Seattle_Tacoma_Bellevue_WA,-28,0,0,,,,,,
2020-02-10,US,Seattle_Tacoma_Bellevue_WA,-27,0,0,,,,,,
2020-02-11,US,Seattle_Tacoma_Bellevue_WA,-26,0,0,,,,,,
2020-02-12,US,Seattle_Tacoma_Bellevue_WA,-25,0,0,,,,,,
2020-02-13,US,Seattle_Tacoma_Bellevue_WA,-24,0,0,,,,,,
2020-02-14,US,Seattle_Tacoma_Bellevue_WA,-23,0,0,,,,,,
2020-02-15,US,Seattle_Tacoma_Bellevue_WA,-22,0,0,,,,,,
2020-02-16,US,Seattle_Tacoma_Bellevue_WA,-21,0,0,,,,,,
2020-02-17,US,Seattle_Tacoma_Bellevue_WA,-20,0,0,,,,,,
2020-02-18,US,Seattle_Tacoma_Bellevue_WA,-19,0,0,,,,,,
2020-02-19,US,Seattle_Tacoma_Bellevue_WA,-18,0,0,,,,,,
2020-02-20,US,Seattle_Tacoma_Bellevue_WA,-17,0,0,,,,,,
2020-02-21,US,Seattle_Tacoma_Bellevue_WA,-16,0,0,,,,,,
2020-02-22,US,Seattle_Tacoma_Bellevue_WA,-15,0,0,,,,,,
2020-02-23,US,Seattle_Tacoma_Bellevue_WA,-14,0,0,,,,,,
2020-02-24,US,Seattle_Tacoma_Bellevue_WA,-13,0,0,,,,,,
2020-02-25,US,Seattle_Tacoma_Bellevue_WA,-12,0,0,,,,,,
2020-02-26,US,Seattle_Tacoma_Bellevue_WA,-11,0,0,,,,,,
2020-02-27,US,Seattle_Tacoma_Bellevue_WA,-10,0,0,,,,,,
2020-02-28,US,Seattle_Tacoma_Bellevue_WA,-9,0,0,,,,,,
2020-02-29,US,Seattle_Tacoma_Bellevue_WA,-8,6,1,,,,,,
2020-03-01,US,Seattle_Tacoma_Bellevue_WA,-7,10,1,,,,,,
2020-03-02,US,Seattle_Tacoma_Bellevue_WA,-6,17,6,,,,,,
2020-03-03,US,Seattle_Tacoma_Bellevue_WA,-5,26,7,,,,,,
2020-03-04,US,Seattle_Tacoma_Bellevue_WA,-4,38,10,,,,,,
2020-03-05,US,Seattle_Tacoma_Bellevue_WA,-3,68,11,,,,,,
