date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,TN_Davidson_County,-58,0,0,,,,,,
2020-01-23,US,TN_Davidson_County,-57,0,0,,,,,,
2020-01-24,US,TN_Davidson_County,-56,0,0,,,,,,
2020-01-25,US,TN_Davidson_County,-55,0,0,,,,,,
2020-01-26,US,TN_Davidson_County,-54,0,0,,,,,,
2020-01-27,US,TN_Davidson_County,-53,0,0,,,,,,
2020-01-28,US,TN_Davidson_County,-52,0,0,,,,,,
2020-01-29,US,TN_Davidson_County,-51,0,0,,,,,,
2020-01-30,US,TN_Davidson_County,-50,0,0,,,,,,
2020-01-31,US,TN_Davidson_County,-49,0,0,,,,,,
2020-02-01,US,TN_Davidson_County,-48,0,0,,,,,,
2020-02-02,US,TN_Davidson_County,-47,0,0,,,,,,
2020-02-03,US,TN_Davidson_County,-46,0,0,,,,,,
2020-02-04,US,TN_Davidson_County,-45,0,0,,,,,,
2020-02-05,US,TN_Davidson_County,-44,0,0,,,,,,
2020-02-06,US,TN_Davidson_County,-43,0,0,,,,,,
2020-02-07,US,TN_Davidson_County,-42,0,0,,,,,,
2020-02-08,US,TN_Davidson_County,-41,0,0,,,,,,
2020-02-09,US,TN_Davidson_County,-40,0,0,,,,,,
2020-02-10,US,TN_Davidson_County,-39,0,0,,,,,,
2020-02-11,US,TN_Davidson_County,-38,0,0,,,,,,
2020-02-12,US,TN_Davidson_County,-37,0,0,,,,,,
2020-02-13,US,TN_Davidson_County,-36,0,0,,,,,,
2020-02-14,US,TN_Davidson_County,-35,0,0,,,,,,
2020-02-15,US,TN_Davidson_County,-34,0,0,,,,,,
2020-02-16,US,TN_Davidson_County,-33,0,0,,,,,,
2020-02-17,US,TN_Davidson_County,-32,0,0,,,,,,
2020-02-18,US,TN_Davidson_County,-31,0,0,,,,,,
2020-02-19,US,TN_Davidson_County,-30,0,0,,,,,,
2020-02-20,US,TN_Davidson_County,-29,0,0,,,,,,
2020-02-21,US,TN_Davidson_County,-28,0,0,,,,,,
2020-02-22,US,TN_Davidson_County,-27,0,0,,,,,,
2020-02-23,US,TN_Davidson_County,-26,0,0,,,,,,
2020-02-24,US,TN_Davidson_County,-25,0,0,,,,,,
2020-02-25,US,TN_Davidson_County,-24,0,0,,,,,,
2020-02-26,US,TN_Davidson_County,-23,0,0,,,,,,
2020-02-27,US,TN_Davidson_County,-22,0,0,,,,,,
2020-02-28,US,TN_Davidson_County,-21,0,0,,,,,,
2020-02-29,US,TN_Davidson_County,-20,0,0,,,,,,
2020-03-01,US,TN_Davidson_County,-19,0,0,,,,,,
2020-03-02,US,TN_Davidson_County,-18,0,0,,,,,,
2020-03-03,US,TN_Davidson_County,-17,0,0,,,,,,
2020-03-04,US,TN_Davidson_County,-16,0,0,,,,,,
2020-03-05,US,TN_Davidson_County,-15,0,0,,,,,,
2020-03-06,US,TN_Davidson_County,-14,0,0,,,,,,
2020-03-07,US,TN_Davidson_County,-13,0,0,,,,,,
2020-03-08,US,TN_Davidson_County,-12,1,0,,,,,,
