date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,US,TN_Shelby_County,-5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,US,TN_Shelby_County,-4,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,US,TN_Shelby_County,-3,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,TN_Shelby_County,-2,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,TN_Shelby_County,-1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,TN_Shelby_County,0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,TN_Shelby_County,1,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,TN_Shelby_County,2,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,TN_Shelby_County,3,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,TN_Shelby_County,4,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,TN_Shelby_County,5,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,TN_Shelby_County,6,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,TN_Shelby_County,7,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,TN_Shelby_County,8,495.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,TN_Shelby_County,9,637.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,TN_Shelby_County,10,638.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,TN_Shelby_County,11,705.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,TN_Shelby_County,12,753.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,TN_Shelby_County,13,764.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,TN_Shelby_County,14,844.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,TN_Shelby_County,15,911.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,TN_Shelby_County,16,1005.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,TN_Shelby_County,17,1082.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,TN_Shelby_County,18,1146.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,TN_Shelby_County,19,1214.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,TN_Shelby_County,20,1330.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,TN_Shelby_County,21,1357.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,TN_Shelby_County,22,1431.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,TN_Shelby_County,23,1507.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,TN_Shelby_County,24,1680.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,TN_Shelby_County,25,1729.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,TN_Shelby_County,26,1777.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,TN_Shelby_County,27,1837.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,TN_Shelby_County,28,1871.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,TN_Shelby_County,29,1922.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,TN_Shelby_County,30,1952.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,TN_Shelby_County,31,1999.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,TN_Shelby_County,32,2085.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,TN_Shelby_County,33,2294.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,TN_Shelby_County,34,2325.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,TN_Shelby_County,35,2375.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,TN_Shelby_County,36,2431.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,TN_Shelby_County,37,2506.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,TN_Shelby_County,38,2597.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,TN_Shelby_County,39,2670.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,TN_Shelby_County,40,2813.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,TN_Shelby_County,41,2876.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,TN_Shelby_County,42,2920.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,TN_Shelby_County,43,3009.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,TN_Shelby_County,44,3064.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,TN_Shelby_County,45,3112.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,TN_Shelby_County,46,3187.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,TN_Shelby_County,47,3258.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,TN_Shelby_County,48,3370.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,TN_Shelby_County,49,3427.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,TN_Shelby_County,50,3473.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,TN_Shelby_County,51,3540.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,TN_Shelby_County,52,3594.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,TN_Shelby_County,53,3679.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,TN_Shelby_County,54,3724.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,TN_Shelby_County,55,3844.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,TN_Shelby_County,56,3934.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
