date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-23,US,TX_Brazoria_County,-35,0,0,,,,,,
2020-01-25,US,TX_Brazoria_County,-34,0,0,,,,,,
2020-01-27,US,TX_Brazoria_County,-33,0,0,,,,,,
2020-01-29,US,TX_Brazoria_County,-32,0,0,,,,,,
2020-01-31,US,TX_Brazoria_County,-31,0,0,,,,,,
2020-02-02,US,TX_Brazoria_County,-30,0,0,,,,,,
2020-02-04,US,TX_Brazoria_County,-29,0,0,,,,,,
2020-02-06,US,TX_Brazoria_County,-28,0,0,,,,,,
2020-02-08,US,TX_Brazoria_County,-27,0,0,,,,,,
2020-02-10,US,TX_Brazoria_County,-26,0,0,,,,,,
2020-02-12,US,TX_Brazoria_County,-25,0,0,,,,,,
2020-02-14,US,TX_Brazoria_County,-24,0,0,,,,,,
2020-02-16,US,TX_Brazoria_County,-23,0,0,,,,,,
2020-02-18,US,TX_Brazoria_County,-22,0,0,,,,,,
2020-02-20,US,TX_Brazoria_County,-21,0,0,,,,,,
2020-02-22,US,TX_Brazoria_County,-20,0,0,,,,,,
2020-02-24,US,TX_Brazoria_County,-19,0,0,,,,,,
2020-02-26,US,TX_Brazoria_County,-18,0,0,,,,,,
2020-02-28,US,TX_Brazoria_County,-17,0,0,,,,,,
2020-03-01,US,TX_Brazoria_County,-16,0,0,,,,,,
2020-03-03,US,TX_Brazoria_County,-15,0,0,,,,,,
2020-03-05,US,TX_Brazoria_County,-14,0,0,,,,,,
2020-03-07,US,TX_Brazoria_County,-13,0,0,,,,,,
2020-03-09,US,TX_Brazoria_County,-12,0,0,,,,,,
2020-03-11,US,TX_Brazoria_County,-11,0,0,,,,,,
2020-03-13,US,TX_Brazoria_County,-10,0,0,,,,,,
2020-03-15,US,TX_Brazoria_County,-9,2,0,,,,,,
2020-03-17,US,TX_Brazoria_County,-8,2,0,,,,,,
2020-03-19,US,TX_Brazoria_County,-7,2,0,,,,,,
2020-03-21,US,TX_Brazoria_County,-6,4,0,,,,,,
2020-03-23,US,TX_Brazoria_County,-5,18,0,,,,,,
2020-03-25,US,TX_Brazoria_County,-4,19,0,,,,,,
2020-03-27,US,TX_Brazoria_County,-3,39,0,,,,,,
2020-03-29,US,TX_Brazoria_County,-2,61,0,,,,,,
2020-03-31,US,TX_Brazoria_County,-1,95,0,,,,,,
2020-04-02,US,TX_Brazoria_County,0,123,1,,,,,,
2020-04-04,US,TX_Brazoria_County,1,136,1,,,,,,
2020-04-06,US,TX_Brazoria_County,2,167,1,,,,,,
2020-04-08,US,TX_Brazoria_County,3,184,1,,,,,,
2020-04-10,US,TX_Brazoria_County,4,216,2,,,,,,
2020-04-12,US,TX_Brazoria_County,5,237,2,,,,,,
2020-04-14,US,TX_Brazoria_County,6,250,2,,,,,,
2020-04-16,US,TX_Brazoria_County,7,272,3,,,,,,
2020-04-18,US,TX_Brazoria_County,8,302,3,,,,,,
2020-04-20,US,TX_Brazoria_County,9,315,3,,,,,,
2020-04-22,US,TX_Brazoria_County,10,345,3,,,,,,
2020-04-24,US,TX_Brazoria_County,11,392,3,,,,,,
2020-04-26,US,TX_Brazoria_County,12,445,3,,,,,,
2020-04-28,US,TX_Brazoria_County,13,464,5,,,,,,
2020-04-30,US,TX_Brazoria_County,14,485,6,,,,,,
2020-05-02,US,TX_Brazoria_County,15,537,6,,,,,,
2020-05-04,US,TX_Brazoria_County,16,551,6,,,,,,
2020-05-06,US,TX_Brazoria_County,17,570,7,,,,,,
2020-05-08,US,TX_Brazoria_County,18,613,8,,,,,,
2020-05-10,US,TX_Brazoria_County,19,656,9,,,,,,
2020-05-12,US,TX_Brazoria_County,20,673,9,,,,,,
2020-05-14,US,TX_Brazoria_County,21,710,9,,,,,,
2020-05-16,US,TX_Brazoria_County,22,721,9,,,,,,
2020-05-18,US,TX_Brazoria_County,23,767,9,,,,,,
2020-05-20,US,TX_Brazoria_County,24,795,9,,,,,,
2020-05-22,US,TX_Brazoria_County,25,816,9,,,,,,
2020-05-24,US,TX_Brazoria_County,26,835,9,,,,,,
2020-05-26,US,TX_Brazoria_County,27,843,9,,,,,,
2020-05-28,US,TX_Brazoria_County,28,861,9,,,,,,
2020-05-30,US,TX_Brazoria_County,29,894,9,,,,,,
2020-06-01,US,TX_Brazoria_County,30,917,9,,,,,,
2020-06-03,US,TX_Brazoria_County,31,941,9,,,,,,
2020-06-05,US,TX_Brazoria_County,32,967,9,,,,,,
2020-06-07,US,TX_Brazoria_County,33,990,9,,,,,,
2020-06-09,US,TX_Brazoria_County,34,1012,9,,,,,,
2020-06-11,US,TX_Brazoria_County,35,1032,11,,,,,,
2020-06-13,US,TX_Brazoria_County,36,1055,11,,,,,,
2020-06-15,US,TX_Brazoria_County,37,1206,13,,,,,,
2020-06-17,US,TX_Brazoria_County,38,1525,18,,,,,,
2020-06-19,US,TX_Brazoria_County,39,1609,18,,,,,,
2020-06-21,US,TX_Brazoria_County,40,1728,19,,,,,,
2020-06-23,US,TX_Brazoria_County,41,1814,19,,,,,,
2020-06-25,US,TX_Brazoria_County,42,1913,19,,,,,,
2020-06-27,US,TX_Brazoria_County,43,2064,21,,,,,,
2020-06-29,US,TX_Brazoria_County,44,2217,21,,,,,,
2020-07-01,US,TX_Brazoria_County,45,2336,21,,,,,,
2020-07-03,US,TX_Brazoria_County,46,2516,22,,,,,,
2020-07-05,US,TX_Brazoria_County,47,2715,22,,,,,,
2020-07-07,US,TX_Brazoria_County,48,2925,22,,,,,,
2020-07-09,US,TX_Brazoria_County,49,3146,24,,,,,,
2020-07-11,US,TX_Brazoria_County,50,3358,25,,,,,,
2020-07-13,US,TX_Brazoria_County,51,3550,28,,,,,,
2020-07-15,US,TX_Brazoria_County,52,3988,28,,,,,,
2020-07-17,US,TX_Brazoria_County,53,4359,29,,,,,,
2020-07-19,US,TX_Brazoria_County,54,4675,32,,,,,,
2020-07-21,US,TX_Brazoria_County,55,4896,34,,,,,,
2020-07-23,US,TX_Brazoria_County,56,5177,35,,,,,,
2020-07-25,US,TX_Brazoria_County,57,5299,37,,,,,,
2020-07-27,US,TX_Brazoria_County,58,5573,50,,,,,,
2020-07-29,US,TX_Brazoria_County,59,6032,60,,,,,,
2020-07-31,US,TX_Brazoria_County,60,6384,67,,,,,,
2020-08-02,US,TX_Brazoria_County,61,6534,72,,,,,,
2020-08-04,US,TX_Brazoria_County,62,6732,78,,,,,,
2020-08-06,US,TX_Brazoria_County,63,6988,85,,,,,,
2020-08-08,US,TX_Brazoria_County,64,7215,92,,,,,,
2020-08-10,US,TX_Brazoria_County,65,7481,93,,,,,,
2020-08-12,US,TX_Brazoria_County,66,7591,100,,,,,,
2020-08-14,US,TX_Brazoria_County,67,7917,105,,,,,,
2020-08-16,US,TX_Brazoria_County,68,8148,111,,,,,,
2020-08-18,US,TX_Brazoria_County,69,8303,114,,,,,,
2020-08-20,US,TX_Brazoria_County,70,8438,121,,,,,,
2020-08-22,US,TX_Brazoria_County,71,8605,124,,,,,,
2020-08-24,US,TX_Brazoria_County,72,8662,124,,,,,,
2020-08-26,US,TX_Brazoria_County,73,8886,130,,,,,,
2020-01-22,US,TX_Brazoria_County,72,0,0,,,,,,
2020-01-24,US,TX_Brazoria_County,71,0,0,,,,,,
2020-01-26,US,TX_Brazoria_County,70,0,0,,,,,,
2020-01-28,US,TX_Brazoria_County,69,0,0,,,,,,
