date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,TX_Cameron_County,-13,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,TX_Cameron_County,-12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,TX_Cameron_County,-11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,TX_Cameron_County,-10,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,TX_Cameron_County,-9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,TX_Cameron_County,-8,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,TX_Cameron_County,-7,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,TX_Cameron_County,-6,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,TX_Cameron_County,-5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,TX_Cameron_County,-4,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,TX_Cameron_County,-3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,TX_Cameron_County,-2,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,TX_Cameron_County,-1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,TX_Cameron_County,0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,TX_Cameron_County,1,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,TX_Cameron_County,2,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,TX_Cameron_County,3,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,TX_Cameron_County,4,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,TX_Cameron_County,5,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,TX_Cameron_County,6,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,TX_Cameron_County,7,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,TX_Cameron_County,8,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,TX_Cameron_County,9,278.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,TX_Cameron_County,10,296.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,TX_Cameron_County,11,296.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,TX_Cameron_County,12,296.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,TX_Cameron_County,13,309.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,TX_Cameron_County,14,319.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,TX_Cameron_County,15,332.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,TX_Cameron_County,16,342.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,TX_Cameron_County,17,353.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,TX_Cameron_County,18,365.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,TX_Cameron_County,19,375.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,TX_Cameron_County,20,375.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,TX_Cameron_County,21,399.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,TX_Cameron_County,22,399.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,TX_Cameron_County,23,411.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,TX_Cameron_County,24,420.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,TX_Cameron_County,25,431.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,TX_Cameron_County,26,441.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,TX_Cameron_County,27,441.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,TX_Cameron_County,28,468.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,TX_Cameron_County,29,481.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,TX_Cameron_County,30,481.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,TX_Cameron_County,31,493.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,TX_Cameron_County,32,510.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,TX_Cameron_County,33,525.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,TX_Cameron_County,34,525.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,TX_Cameron_County,35,543.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,TX_Cameron_County,36,581.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,TX_Cameron_County,37,581.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,TX_Cameron_County,38,581.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,TX_Cameron_County,39,618.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,TX_Cameron_County,40,618.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,TX_Cameron_County,41,648.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,TX_Cameron_County,42,662.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,TX_Cameron_County,43,662.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,TX_Cameron_County,44,670.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,TX_Cameron_County,45,685.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,TX_Cameron_County,46,697.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,US,TX_Cameron_County,47,697.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,US,TX_Cameron_County,48,697.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,US,TX_Cameron_County,49,710.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,US,TX_Cameron_County,50,729.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,US,TX_Cameron_County,51,741.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,US,TX_Cameron_County,52,753.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,US,TX_Cameron_County,53,763.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,US,TX_Cameron_County,54,763.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,US,TX_Cameron_County,55,774.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,US,TX_Cameron_County,56,798.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,US,TX_Cameron_County,57,818.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,US,TX_Cameron_County,58,840.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,US,TX_Cameron_County,59,890.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,US,TX_Cameron_County,60,890.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,US,TX_Cameron_County,61,890.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,US,TX_Cameron_County,62,917.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,US,TX_Cameron_County,63,950.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,US,TX_Cameron_County,64,988.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,US,TX_Cameron_County,65,1030.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,US,TX_Cameron_County,66,1079.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-14,US,TX_Cameron_County,67,1137.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-15,US,TX_Cameron_County,68,1137.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-16,US,TX_Cameron_County,69,1177.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-17,US,TX_Cameron_County,70,1234.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-18,US,TX_Cameron_County,71,1299.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,US,TX_Cameron_County,72,1369.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-20,US,TX_Cameron_County,73,1545.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-21,US,TX_Cameron_County,74,1545.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,US,TX_Cameron_County,75,1545.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,US,TX_Cameron_County,76,1646.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,US,TX_Cameron_County,77,1756.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-25,US,TX_Cameron_County,78,1880.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,US,TX_Cameron_County,79,1970.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-27,US,TX_Cameron_County,80,2182.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-28,US,TX_Cameron_County,81,2182.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,US,TX_Cameron_County,82,2182.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
