date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,TX_Chambers_County,-143,0,0,,,,,,
2020-01-23,US,TX_Chambers_County,-142,0,0,,,,,,
2020-01-24,US,TX_Chambers_County,-141,0,0,,,,,,
2020-01-25,US,TX_Chambers_County,-140,0,0,,,,,,
2020-01-26,US,TX_Chambers_County,-139,0,0,,,,,,
2020-01-27,US,TX_Chambers_County,-138,0,0,,,,,,
2020-01-28,US,TX_Chambers_County,-137,0,0,,,,,,
2020-01-29,US,TX_Chambers_County,-136,0,0,,,,,,
2020-01-30,US,TX_Chambers_County,-135,0,0,,,,,,
2020-01-31,US,TX_Chambers_County,-134,0,0,,,,,,
2020-02-01,US,TX_Chambers_County,-133,0,0,,,,,,
2020-02-02,US,TX_Chambers_County,-132,0,0,,,,,,
2020-02-03,US,TX_Chambers_County,-131,0,0,,,,,,
2020-02-04,US,TX_Chambers_County,-130,0,0,,,,,,
2020-02-05,US,TX_Chambers_County,-129,0,0,,,,,,
2020-02-06,US,TX_Chambers_County,-128,0,0,,,,,,
2020-02-07,US,TX_Chambers_County,-127,0,0,,,,,,
2020-02-08,US,TX_Chambers_County,-126,0,0,,,,,,
2020-02-09,US,TX_Chambers_County,-125,0,0,,,,,,
2020-02-10,US,TX_Chambers_County,-124,0,0,,,,,,
2020-02-11,US,TX_Chambers_County,-123,0,0,,,,,,
2020-02-12,US,TX_Chambers_County,-122,0,0,,,,,,
2020-02-13,US,TX_Chambers_County,-121,0,0,,,,,,
2020-02-14,US,TX_Chambers_County,-120,0,0,,,,,,
2020-02-15,US,TX_Chambers_County,-119,0,0,,,,,,
2020-02-16,US,TX_Chambers_County,-118,0,0,,,,,,
2020-02-17,US,TX_Chambers_County,-117,0,0,,,,,,
2020-02-18,US,TX_Chambers_County,-116,0,0,,,,,,
2020-02-19,US,TX_Chambers_County,-115,0,0,,,,,,
2020-02-20,US,TX_Chambers_County,-114,0,0,,,,,,
2020-02-21,US,TX_Chambers_County,-113,0,0,,,,,,
2020-02-22,US,TX_Chambers_County,-112,0,0,,,,,,
2020-02-23,US,TX_Chambers_County,-111,0,0,,,,,,
2020-02-24,US,TX_Chambers_County,-110,0,0,,,,,,
2020-02-25,US,TX_Chambers_County,-109,0,0,,,,,,
2020-02-26,US,TX_Chambers_County,-108,0,0,,,,,,
2020-02-27,US,TX_Chambers_County,-107,0,0,,,,,,
2020-02-28,US,TX_Chambers_County,-106,0,0,,,,,,
2020-02-29,US,TX_Chambers_County,-105,0,0,,,,,,
2020-03-01,US,TX_Chambers_County,-104,0,0,,,,,,
2020-03-02,US,TX_Chambers_County,-103,0,0,,,,,,
2020-03-03,US,TX_Chambers_County,-102,0,0,,,,,,
2020-03-04,US,TX_Chambers_County,-101,0,0,,,,,,
2020-03-05,US,TX_Chambers_County,-100,0,0,,,,,,
2020-03-06,US,TX_Chambers_County,-99,0,0,,,,,,
2020-03-07,US,TX_Chambers_County,-98,0,0,,,,,,
2020-03-08,US,TX_Chambers_County,-97,0,0,,,,,,
2020-03-09,US,TX_Chambers_County,-96,0,0,,,,,,
2020-03-10,US,TX_Chambers_County,-95,0,0,,,,,,
2020-03-11,US,TX_Chambers_County,-94,0,0,,,,,,
2020-03-12,US,TX_Chambers_County,-93,0,0,,,,,,
2020-03-13,US,TX_Chambers_County,-92,0,0,,,,,,
2020-03-14,US,TX_Chambers_County,-91,0,0,,,,,,
2020-03-15,US,TX_Chambers_County,-90,0,0,,,,,,
2020-03-16,US,TX_Chambers_County,-89,0,0,,,,,,
2020-03-17,US,TX_Chambers_County,-88,0,0,,,,,,
2020-03-18,US,TX_Chambers_County,-87,0,0,,,,,,
2020-03-19,US,TX_Chambers_County,-86,0,0,,,,,,
2020-03-20,US,TX_Chambers_County,-85,0,0,,,,,,
2020-03-21,US,TX_Chambers_County,-84,0,0,,,,,,
2020-03-22,US,TX_Chambers_County,-83,1,0,,,,,,
2020-03-23,US,TX_Chambers_County,-82,1,0,,,,,,
2020-03-24,US,TX_Chambers_County,-81,2,0,,,,,,
2020-03-25,US,TX_Chambers_County,-80,2,0,,,,,,
2020-03-26,US,TX_Chambers_County,-79,2,0,,,,,,
2020-03-27,US,TX_Chambers_County,-78,2,0,,,,,,
2020-03-28,US,TX_Chambers_County,-77,3,0,,,,,,
2020-03-29,US,TX_Chambers_County,-76,3,0,,,,,,
2020-03-30,US,TX_Chambers_County,-75,5,0,,,,,,
2020-03-31,US,TX_Chambers_County,-74,8,0,,,,,,
2020-04-01,US,TX_Chambers_County,-73,9,0,,,,,,
2020-04-02,US,TX_Chambers_County,-72,9,0,,,,,,
2020-04-03,US,TX_Chambers_County,-71,11,0,,,,,,
2020-04-04,US,TX_Chambers_County,-70,11,0,,,,,,
2020-04-05,US,TX_Chambers_County,-69,11,0,,,,,,
2020-04-06,US,TX_Chambers_County,-68,11,0,,,,,,
2020-04-07,US,TX_Chambers_County,-67,17,0,,,,,,
2020-04-08,US,TX_Chambers_County,-66,19,0,,,,,,
2020-04-09,US,TX_Chambers_County,-65,22,0,,,,,,
2020-04-10,US,TX_Chambers_County,-64,24,0,,,,,,
2020-04-11,US,TX_Chambers_County,-63,24,0,,,,,,
2020-04-12,US,TX_Chambers_County,-62,29,0,,,,,,
2020-04-13,US,TX_Chambers_County,-61,29,0,,,,,,
2020-04-14,US,TX_Chambers_County,-60,29,0,,,,,,
2020-04-15,US,TX_Chambers_County,-59,31,0,,,,,,
2020-04-16,US,TX_Chambers_County,-58,33,0,,,,,,
2020-04-17,US,TX_Chambers_County,-57,34,0,,,,,,
2020-04-18,US,TX_Chambers_County,-56,35,0,,,,,,
2020-04-19,US,TX_Chambers_County,-55,35,0,,,,,,
2020-04-20,US,TX_Chambers_County,-54,35,0,,,,,,
2020-04-21,US,TX_Chambers_County,-53,35,0,,,,,,
2020-04-22,US,TX_Chambers_County,-52,36,0,,,,,,
2020-04-23,US,TX_Chambers_County,-51,39,0,,,,,,
2020-04-24,US,TX_Chambers_County,-50,41,0,,,,,,
2020-04-25,US,TX_Chambers_County,-49,41,0,,,,,,
2020-04-26,US,TX_Chambers_County,-48,41,0,,,,,,
2020-04-27,US,TX_Chambers_County,-47,41,0,,,,,,
2020-04-28,US,TX_Chambers_County,-46,41,0,,,,,,
2020-04-29,US,TX_Chambers_County,-45,41,0,,,,,,
2020-04-30,US,TX_Chambers_County,-44,41,0,,,,,,
2020-05-01,US,TX_Chambers_County,-43,42,0,,,,,,
2020-05-02,US,TX_Chambers_County,-42,43,0,,,,,,
2020-05-03,US,TX_Chambers_County,-41,44,0,,,,,,
2020-05-04,US,TX_Chambers_County,-40,45,0,,,,,,
2020-05-05,US,TX_Chambers_County,-39,45,0,,,,,,
2020-05-06,US,TX_Chambers_County,-38,45,0,,,,,,
2020-05-07,US,TX_Chambers_County,-37,47,0,,,,,,
2020-05-08,US,TX_Chambers_County,-36,47,0,,,,,,
2020-05-09,US,TX_Chambers_County,-35,48,0,,,,,,
2020-05-10,US,TX_Chambers_County,-34,49,0,,,,,,
2020-05-11,US,TX_Chambers_County,-33,50,0,,,,,,
2020-05-12,US,TX_Chambers_County,-32,50,0,,,,,,
2020-05-13,US,TX_Chambers_County,-31,50,0,,,,,,
2020-05-14,US,TX_Chambers_County,-30,50,0,,,,,,
2020-05-15,US,TX_Chambers_County,-29,52,0,,,,,,
2020-05-16,US,TX_Chambers_County,-28,52,0,,,,,,
2020-05-17,US,TX_Chambers_County,-27,53,0,,,,,,
2020-05-18,US,TX_Chambers_County,-26,53,0,,,,,,
2020-05-19,US,TX_Chambers_County,-25,55,0,,,,,,
2020-05-20,US,TX_Chambers_County,-24,58,0,,,,,,
2020-05-21,US,TX_Chambers_County,-23,58,0,,,,,,
2020-05-22,US,TX_Chambers_County,-22,58,0,,,,,,
2020-05-23,US,TX_Chambers_County,-21,58,0,,,,,,
2020-05-24,US,TX_Chambers_County,-20,59,0,,,,,,
2020-05-25,US,TX_Chambers_County,-19,61,0,,,,,,
2020-05-26,US,TX_Chambers_County,-18,61,0,,,,,,
2020-05-27,US,TX_Chambers_County,-17,62,0,,,,,,
2020-05-28,US,TX_Chambers_County,-16,62,0,,,,,,
2020-05-29,US,TX_Chambers_County,-15,65,0,,,,,,
2020-05-30,US,TX_Chambers_County,-14,67,0,,,,,,
