date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,TX_Galveston_County,-69,0,0,,,,,,
2020-01-23,US,TX_Galveston_County,-68,0,0,,,,,,
2020-01-24,US,TX_Galveston_County,-67,0,0,,,,,,
2020-01-25,US,TX_Galveston_County,-66,0,0,,,,,,
2020-01-26,US,TX_Galveston_County,-65,0,0,,,,,,
2020-01-27,US,TX_Galveston_County,-64,0,0,,,,,,
2020-01-28,US,TX_Galveston_County,-63,0,0,,,,,,
2020-01-29,US,TX_Galveston_County,-62,0,0,,,,,,
2020-01-30,US,TX_Galveston_County,-61,0,0,,,,,,
2020-01-31,US,TX_Galveston_County,-60,0,0,,,,,,
2020-02-01,US,TX_Galveston_County,-59,0,0,,,,,,
2020-02-02,US,TX_Galveston_County,-58,0,0,,,,,,
2020-02-03,US,TX_Galveston_County,-57,0,0,,,,,,
2020-02-04,US,TX_Galveston_County,-56,0,0,,,,,,
2020-02-05,US,TX_Galveston_County,-55,0,0,,,,,,
2020-02-06,US,TX_Galveston_County,-54,0,0,,,,,,
2020-02-07,US,TX_Galveston_County,-53,0,0,,,,,,
2020-02-08,US,TX_Galveston_County,-52,0,0,,,,,,
2020-02-09,US,TX_Galveston_County,-51,0,0,,,,,,
2020-02-10,US,TX_Galveston_County,-50,0,0,,,,,,
2020-02-11,US,TX_Galveston_County,-49,0,0,,,,,,
2020-02-12,US,TX_Galveston_County,-48,0,0,,,,,,
2020-02-13,US,TX_Galveston_County,-47,0,0,,,,,,
2020-02-14,US,TX_Galveston_County,-46,0,0,,,,,,
2020-02-15,US,TX_Galveston_County,-45,0,0,,,,,,
2020-02-16,US,TX_Galveston_County,-44,0,0,,,,,,
2020-02-17,US,TX_Galveston_County,-43,0,0,,,,,,
2020-02-18,US,TX_Galveston_County,-42,0,0,,,,,,
2020-02-19,US,TX_Galveston_County,-41,0,0,,,,,,
2020-02-20,US,TX_Galveston_County,-40,0,0,,,,,,
2020-02-21,US,TX_Galveston_County,-39,0,0,,,,,,
2020-02-22,US,TX_Galveston_County,-38,0,0,,,,,,
2020-02-23,US,TX_Galveston_County,-37,0,0,,,,,,
2020-02-24,US,TX_Galveston_County,-36,0,0,,,,,,
2020-02-25,US,TX_Galveston_County,-35,0,0,,,,,,
2020-02-26,US,TX_Galveston_County,-34,0,0,,,,,,
2020-02-27,US,TX_Galveston_County,-33,0,0,,,,,,
2020-02-28,US,TX_Galveston_County,-32,0,0,,,,,,
2020-02-29,US,TX_Galveston_County,-31,0,0,,,,,,
2020-03-01,US,TX_Galveston_County,-30,0,0,,,,,,
2020-03-02,US,TX_Galveston_County,-29,0,0,,,,,,
2020-03-03,US,TX_Galveston_County,-28,0,0,,,,,,
2020-03-04,US,TX_Galveston_County,-27,0,0,,,,,,
2020-03-05,US,TX_Galveston_County,-26,0,0,,,,,,
2020-03-06,US,TX_Galveston_County,-25,0,0,,,,,,
2020-03-07,US,TX_Galveston_County,-24,0,0,,,,,,
2020-03-08,US,TX_Galveston_County,-23,0,0,,,,,,
2020-03-09,US,TX_Galveston_County,-22,0,0,,,,,,
2020-03-10,US,TX_Galveston_County,-21,0,0,,,,,,
2020-03-11,US,TX_Galveston_County,-20,0,0,,,,,,
2020-03-12,US,TX_Galveston_County,-19,0,0,,,,,,
2020-03-13,US,TX_Galveston_County,-18,0,0,,,,,,
2020-03-14,US,TX_Galveston_County,-17,1,0,,,,,,
2020-03-15,US,TX_Galveston_County,-16,1,0,,,,,,
2020-03-16,US,TX_Galveston_County,-15,1,0,,,,,,
2020-03-17,US,TX_Galveston_County,-14,1,0,,,,,,
2020-03-18,US,TX_Galveston_County,-13,2,0,,,,,,
2020-03-19,US,TX_Galveston_County,-12,2,0,,,,,,
2020-03-20,US,TX_Galveston_County,-11,4,0,,,,,,
2020-03-21,US,TX_Galveston_County,-10,6,0,,,,,,
2020-03-22,US,TX_Galveston_County,-9,9,0,,,,,,
2020-03-23,US,TX_Galveston_County,-8,18,0,,,,,,
2020-03-24,US,TX_Galveston_County,-7,18,0,,,,,,
2020-03-25,US,TX_Galveston_County,-6,18,0,,,,,,
2020-03-26,US,TX_Galveston_County,-5,40,0,,,,,,
2020-03-27,US,TX_Galveston_County,-4,40,0,,,,,,
2020-03-28,US,TX_Galveston_County,-3,49,0,,,,,,
2020-03-29,US,TX_Galveston_County,-2,70,0,,,,,,
2020-03-30,US,TX_Galveston_County,-1,92,0,,,,,,
2020-03-31,US,TX_Galveston_County,0,106,0,,,,,,
2020-04-01,US,TX_Galveston_County,1,106,0,,,,,,
2020-04-02,US,TX_Galveston_County,2,118,0,,,,,,
2020-04-03,US,TX_Galveston_County,3,130,0,,,,,,
2020-04-04,US,TX_Galveston_County,4,136,0,,,,,,
2020-04-05,US,TX_Galveston_County,5,222,0,,,,,,
2020-04-06,US,TX_Galveston_County,6,240,1,,,,,,
2020-04-07,US,TX_Galveston_County,7,256,1,,,,,,
2020-04-08,US,TX_Galveston_County,8,272,5,,,,,,
2020-04-09,US,TX_Galveston_County,9,287,5,,,,,,
2020-04-10,US,TX_Galveston_County,10,308,7,,,,,,
2020-04-11,US,TX_Galveston_County,11,341,8,,,,,,
2020-04-12,US,TX_Galveston_County,12,355,8,,,,,,
2020-04-13,US,TX_Galveston_County,13,355,8,,,,,,
2020-04-14,US,TX_Galveston_County,14,377,9,,,,,,
2020-04-15,US,TX_Galveston_County,15,392,11,,,,,,
2020-04-16,US,TX_Galveston_County,16,401,13,,,,,,
2020-04-17,US,TX_Galveston_County,17,421,14,,,,,,
2020-04-18,US,TX_Galveston_County,18,438,14,,,,,,
2020-04-19,US,TX_Galveston_County,19,450,15,,,,,,
2020-04-20,US,TX_Galveston_County,20,455,17,,,,,,
2020-04-21,US,TX_Galveston_County,21,468,19,,,,,,
2020-04-22,US,TX_Galveston_County,22,479,20,,,,,,
2020-04-23,US,TX_Galveston_County,23,491,21,,,,,,
2020-04-24,US,TX_Galveston_County,24,507,21,,,,,,
2020-04-25,US,TX_Galveston_County,25,522,21,,,,,,
2020-04-26,US,TX_Galveston_County,26,539,22,,,,,,
2020-04-27,US,TX_Galveston_County,27,541,22,,,,,,
2020-04-28,US,TX_Galveston_County,28,548,24,,,,,,
2020-04-29,US,TX_Galveston_County,29,554,24,,,,,,
2020-04-30,US,TX_Galveston_County,30,572,24,,,,,,
2020-05-01,US,TX_Galveston_County,31,595,26,,,,,,
2020-05-02,US,TX_Galveston_County,32,614,27,,,,,,
2020-05-03,US,TX_Galveston_County,33,629,28,,,,,,
2020-05-04,US,TX_Galveston_County,34,636,28,,,,,,
2020-05-05,US,TX_Galveston_County,35,648,28,,,,,,
2020-05-06,US,TX_Galveston_County,36,659,28,,,,,,
2020-05-07,US,TX_Galveston_County,37,669,28,,,,,,
2020-05-08,US,TX_Galveston_County,38,672,28,,,,,,
2020-05-09,US,TX_Galveston_County,39,676,29,,,,,,
2020-05-10,US,TX_Galveston_County,40,680,29,,,,,,
2020-05-11,US,TX_Galveston_County,41,685,29,,,,,,
2020-05-12,US,TX_Galveston_County,42,686,29,,,,,,
2020-05-13,US,TX_Galveston_County,43,688,29,,,,,,
