date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-29,US,TX_Midland_County,-44,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,TX_Midland_County,-43,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,TX_Midland_County,-42,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,TX_Midland_County,-41,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,TX_Midland_County,-40,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,TX_Midland_County,-39,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,TX_Midland_County,-38,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,TX_Midland_County,-37,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,TX_Midland_County,-36,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,TX_Midland_County,-35,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,TX_Midland_County,-34,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,TX_Midland_County,-33,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,TX_Midland_County,-32,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,TX_Midland_County,-31,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,TX_Midland_County,-30,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,TX_Midland_County,-29,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,TX_Midland_County,-28,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,TX_Midland_County,-27,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,TX_Midland_County,-26,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,TX_Midland_County,-25,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,TX_Midland_County,-24,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,TX_Midland_County,-23,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,TX_Midland_County,-22,62.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,TX_Midland_County,-21,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
