date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-22,US,VT_Lamoille_County,-203,0,0,,,,,,
2020-01-23,US,VT_Lamoille_County,-202,0,0,,,,,,
2020-01-24,US,VT_Lamoille_County,-201,0,0,,,,,,
2020-01-25,US,VT_Lamoille_County,-200,0,0,,,,,,
2020-01-26,US,VT_Lamoille_County,-199,0,0,,,,,,
2020-01-27,US,VT_Lamoille_County,-198,0,0,,,,,,
2020-01-28,US,VT_Lamoille_County,-197,0,0,,,,,,
2020-01-29,US,VT_Lamoille_County,-196,0,0,,,,,,
2020-01-30,US,VT_Lamoille_County,-195,0,0,,,,,,
2020-01-31,US,VT_Lamoille_County,-194,0,0,,,,,,
2020-02-01,US,VT_Lamoille_County,-193,0,0,,,,,,
2020-02-02,US,VT_Lamoille_County,-192,0,0,,,,,,
2020-02-03,US,VT_Lamoille_County,-191,0,0,,,,,,
2020-02-04,US,VT_Lamoille_County,-190,0,0,,,,,,
2020-02-05,US,VT_Lamoille_County,-189,0,0,,,,,,
2020-02-06,US,VT_Lamoille_County,-188,0,0,,,,,,
2020-02-07,US,VT_Lamoille_County,-187,0,0,,,,,,
2020-02-08,US,VT_Lamoille_County,-186,0,0,,,,,,
2020-02-09,US,VT_Lamoille_County,-185,0,0,,,,,,
2020-02-10,US,VT_Lamoille_County,-184,0,0,,,,,,
2020-02-11,US,VT_Lamoille_County,-183,0,0,,,,,,
2020-02-12,US,VT_Lamoille_County,-182,0,0,,,,,,
2020-02-13,US,VT_Lamoille_County,-181,0,0,,,,,,
2020-02-14,US,VT_Lamoille_County,-180,0,0,,,,,,
2020-02-15,US,VT_Lamoille_County,-179,0,0,,,,,,
2020-02-16,US,VT_Lamoille_County,-178,0,0,,,,,,
2020-02-17,US,VT_Lamoille_County,-177,0,0,,,,,,
2020-02-18,US,VT_Lamoille_County,-176,0,0,,,,,,
2020-02-19,US,VT_Lamoille_County,-175,0,0,,,,,,
2020-02-20,US,VT_Lamoille_County,-174,0,0,,,,,,
2020-02-21,US,VT_Lamoille_County,-173,0,0,,,,,,
2020-02-22,US,VT_Lamoille_County,-172,0,0,,,,,,
2020-02-23,US,VT_Lamoille_County,-171,0,0,,,,,,
2020-02-24,US,VT_Lamoille_County,-170,0,0,,,,,,
2020-02-25,US,VT_Lamoille_County,-169,0,0,,,,,,
2020-02-26,US,VT_Lamoille_County,-168,0,0,,,,,,
2020-02-27,US,VT_Lamoille_County,-167,0,0,,,,,,
2020-02-28,US,VT_Lamoille_County,-166,0,0,,,,,,
2020-02-29,US,VT_Lamoille_County,-165,0,0,,,,,,
2020-03-01,US,VT_Lamoille_County,-164,0,0,,,,,,
2020-03-02,US,VT_Lamoille_County,-163,0,0,,,,,,
2020-03-03,US,VT_Lamoille_County,-162,0,0,,,,,,
2020-03-04,US,VT_Lamoille_County,-161,0,0,,,,,,
2020-03-05,US,VT_Lamoille_County,-160,0,0,,,,,,
2020-03-06,US,VT_Lamoille_County,-159,0,0,,,,,,
2020-03-07,US,VT_Lamoille_County,-158,0,0,,,,,,
2020-03-08,US,VT_Lamoille_County,-157,0,0,,,,,,
2020-03-09,US,VT_Lamoille_County,-156,0,0,,,,,,
2020-03-10,US,VT_Lamoille_County,-155,0,0,,,,,,
2020-03-11,US,VT_Lamoille_County,-154,0,0,,,,,,
2020-03-12,US,VT_Lamoille_County,-153,0,0,,,,,,
2020-03-13,US,VT_Lamoille_County,-152,0,0,,,,,,
2020-03-14,US,VT_Lamoille_County,-151,0,0,,,,,,
2020-03-15,US,VT_Lamoille_County,-150,0,0,,,,,,
2020-03-16,US,VT_Lamoille_County,-149,0,0,,,,,,
2020-03-17,US,VT_Lamoille_County,-148,0,0,,,,,,
2020-03-18,US,VT_Lamoille_County,-147,0,0,,,,,,
2020-03-19,US,VT_Lamoille_County,-146,0,0,,,,,,
2020-03-20,US,VT_Lamoille_County,-145,0,0,,,,,,
2020-03-21,US,VT_Lamoille_County,-144,0,0,,,,,,
2020-03-22,US,VT_Lamoille_County,-143,0,0,,,,,,
2020-03-23,US,VT_Lamoille_County,-142,0,0,,,,,,
2020-03-24,US,VT_Lamoille_County,-141,2,0,,,,,,
2020-03-25,US,VT_Lamoille_County,-140,4,0,,,,,,
2020-03-26,US,VT_Lamoille_County,-139,5,0,,,,,,
2020-03-27,US,VT_Lamoille_County,-138,6,0,,,,,,
2020-03-28,US,VT_Lamoille_County,-137,9,0,,,,,,
2020-03-29,US,VT_Lamoille_County,-136,12,0,,,,,,
2020-03-30,US,VT_Lamoille_County,-135,13,0,,,,,,
2020-03-31,US,VT_Lamoille_County,-134,13,0,,,,,,
2020-04-01,US,VT_Lamoille_County,-133,13,0,,,,,,
2020-04-02,US,VT_Lamoille_County,-132,14,0,,,,,,
2020-04-03,US,VT_Lamoille_County,-131,17,0,,,,,,
2020-04-04,US,VT_Lamoille_County,-130,17,0,,,,,,
2020-04-05,US,VT_Lamoille_County,-129,17,0,,,,,,
2020-04-06,US,VT_Lamoille_County,-128,18,0,,,,,,
2020-04-07,US,VT_Lamoille_County,-127,19,1,,,,,,
2020-04-08,US,VT_Lamoille_County,-126,19,1,,,,,,
2020-04-09,US,VT_Lamoille_County,-125,19,1,,,,,,
2020-04-10,US,VT_Lamoille_County,-124,19,1,,,,,,
2020-04-11,US,VT_Lamoille_County,-123,21,1,,,,,,
2020-04-12,US,VT_Lamoille_County,-122,21,1,,,,,,
2020-04-13,US,VT_Lamoille_County,-121,22,1,,,,,,
2020-04-14,US,VT_Lamoille_County,-120,22,1,,,,,,
2020-04-15,US,VT_Lamoille_County,-119,22,1,,,,,,
2020-04-16,US,VT_Lamoille_County,-118,22,1,,,,,,
2020-04-17,US,VT_Lamoille_County,-117,22,1,,,,,,
2020-04-18,US,VT_Lamoille_County,-116,23,1,,,,,,
2020-04-19,US,VT_Lamoille_County,-115,23,1,,,,,,
2020-04-20,US,VT_Lamoille_County,-114,23,1,,,,,,
2020-04-21,US,VT_Lamoille_County,-113,23,1,,,,,,
2020-04-22,US,VT_Lamoille_County,-112,23,1,,,,,,
2020-04-23,US,VT_Lamoille_County,-111,25,1,,,,,,
2020-04-24,US,VT_Lamoille_County,-110,25,1,,,,,,
2020-04-25,US,VT_Lamoille_County,-109,25,1,,,,,,
2020-04-26,US,VT_Lamoille_County,-108,25,1,,,,,,
2020-04-27,US,VT_Lamoille_County,-107,25,1,,,,,,
2020-04-28,US,VT_Lamoille_County,-106,25,1,,,,,,
2020-04-29,US,VT_Lamoille_County,-105,25,1,,,,,,
2020-04-30,US,VT_Lamoille_County,-104,25,1,,,,,,
2020-05-01,US,VT_Lamoille_County,-103,25,1,,,,,,
2020-05-02,US,VT_Lamoille_County,-102,25,1,,,,,,
2020-05-03,US,VT_Lamoille_County,-101,25,1,,,,,,
2020-05-04,US,VT_Lamoille_County,-100,26,1,,,,,,
2020-05-05,US,VT_Lamoille_County,-99,26,1,,,,,,
2020-05-06,US,VT_Lamoille_County,-98,26,1,,,,,,
2020-05-07,US,VT_Lamoille_County,-97,26,1,,,,,,
2020-05-08,US,VT_Lamoille_County,-96,26,1,,,,,,
2020-05-09,US,VT_Lamoille_County,-95,26,1,,,,,,
2020-05-10,US,VT_Lamoille_County,-94,26,1,,,,,,
2020-05-11,US,VT_Lamoille_County,-93,26,1,,,,,,
2020-05-12,US,VT_Lamoille_County,-92,26,1,,,,,,
2020-05-13,US,VT_Lamoille_County,-91,27,1,,,,,,
2020-05-14,US,VT_Lamoille_County,-90,27,1,,,,,,
2020-05-15,US,VT_Lamoille_County,-89,27,1,,,,,,
2020-05-16,US,VT_Lamoille_County,-88,27,1,,,,,,
2020-05-17,US,VT_Lamoille_County,-87,27,1,,,,,,
2020-05-18,US,VT_Lamoille_County,-86,27,1,,,,,,
2020-05-19,US,VT_Lamoille_County,-85,27,1,,,,,,
2020-05-20,US,VT_Lamoille_County,-84,27,1,,,,,,
2020-05-21,US,VT_Lamoille_County,-83,29,1,,,,,,
2020-05-22,US,VT_Lamoille_County,-82,29,1,,,,,,
2020-05-23,US,VT_Lamoille_County,-81,29,1,,,,,,
2020-05-24,US,VT_Lamoille_County,-80,29,1,,,,,,
2020-05-25,US,VT_Lamoille_County,-79,29,1,,,,,,
2020-05-26,US,VT_Lamoille_County,-78,29,1,,,,,,
2020-05-27,US,VT_Lamoille_County,-77,29,1,,,,,,
2020-05-28,US,VT_Lamoille_County,-76,29,1,,,,,,
2020-05-29,US,VT_Lamoille_County,-75,29,1,,,,,,
2020-05-30,US,VT_Lamoille_County,-74,29,1,,,,,,
2020-05-31,US,VT_Lamoille_County,-73,29,1,,,,,,
2020-06-01,US,VT_Lamoille_County,-72,29,1,,,,,,
2020-06-02,US,VT_Lamoille_County,-71,29,1,,,,,,
2020-06-03,US,VT_Lamoille_County,-70,29,1,,,,,,
2020-06-04,US,VT_Lamoille_County,-69,29,1,,,,,,
2020-06-05,US,VT_Lamoille_County,-68,29,1,,,,,,
2020-06-06,US,VT_Lamoille_County,-67,29,1,,,,,,
2020-06-07,US,VT_Lamoille_County,-66,29,1,,,,,,
2020-06-08,US,VT_Lamoille_County,-65,29,1,,,,,,
2020-06-09,US,VT_Lamoille_County,-64,29,1,,,,,,
2020-06-10,US,VT_Lamoille_County,-63,29,1,,,,,,
2020-06-11,US,VT_Lamoille_County,-62,29,1,,,,,,
2020-06-12,US,VT_Lamoille_County,-61,29,1,,,,,,
2020-06-13,US,VT_Lamoille_County,-60,29,1,,,,,,
2020-06-14,US,VT_Lamoille_County,-59,29,1,,,,,,
2020-06-15,US,VT_Lamoille_County,-58,29,1,,,,,,
2020-06-16,US,VT_Lamoille_County,-57,29,1,,,,,,
2020-06-17,US,VT_Lamoille_County,-56,29,1,,,,,,
2020-06-18,US,VT_Lamoille_County,-55,29,1,,,,,,
2020-06-19,US,VT_Lamoille_County,-54,30,1,,,,,,
2020-06-20,US,VT_Lamoille_County,-53,30,1,,,,,,
2020-06-21,US,VT_Lamoille_County,-52,30,1,,,,,,
2020-06-22,US,VT_Lamoille_County,-51,30,1,,,,,,
2020-06-23,US,VT_Lamoille_County,-50,30,1,,,,,,
2020-06-24,US,VT_Lamoille_County,-49,30,1,,,,,,
2020-06-25,US,VT_Lamoille_County,-48,30,1,,,,,,
2020-06-26,US,VT_Lamoille_County,-47,30,1,,,,,,
2020-06-27,US,VT_Lamoille_County,-46,30,1,,,,,,
2020-06-28,US,VT_Lamoille_County,-45,30,1,,,,,,
2020-06-29,US,VT_Lamoille_County,-44,30,1,,,,,,
2020-06-30,US,VT_Lamoille_County,-43,30,1,,,,,,
2020-07-01,US,VT_Lamoille_County,-42,30,1,,,,,,
2020-07-02,US,VT_Lamoille_County,-41,31,1,,,,,,
2020-07-03,US,VT_Lamoille_County,-40,31,1,,,,,,
2020-07-04,US,VT_Lamoille_County,-39,32,1,,,,,,
2020-07-05,US,VT_Lamoille_County,-38,34,1,,,,,,
2020-07-06,US,VT_Lamoille_County,-37,34,1,,,,,,
2020-07-07,US,VT_Lamoille_County,-36,34,1,,,,,,
2020-07-08,US,VT_Lamoille_County,-35,34,1,,,,,,
2020-07-09,US,VT_Lamoille_County,-34,36,1,,,,,,
2020-07-10,US,VT_Lamoille_County,-33,37,1,,,,,,
2020-07-11,US,VT_Lamoille_County,-32,37,1,,,,,,
2020-07-12,US,VT_Lamoille_County,-31,38,1,,,,,,
2020-07-13,US,VT_Lamoille_County,-30,39,1,,,,,,
2020-07-14,US,VT_Lamoille_County,-29,40,1,,,,,,
2020-07-15,US,VT_Lamoille_County,-28,40,1,,,,,,
2020-07-16,US,VT_Lamoille_County,-27,41,1,,,,,,
2020-07-17,US,VT_Lamoille_County,-26,41,1,,,,,,
2020-07-18,US,VT_Lamoille_County,-25,41,1,,,,,,
2020-07-19,US,VT_Lamoille_County,-24,42,1,,,,,,
2020-07-20,US,VT_Lamoille_County,-23,42,1,,,,,,
2020-07-21,US,VT_Lamoille_County,-22,42,1,,,,,,
2020-07-22,US,VT_Lamoille_County,-21,42,1,,,,,,
2020-07-23,US,VT_Lamoille_County,-20,42,1,,,,,,
2020-07-24,US,VT_Lamoille_County,-19,42,1,,,,,,
2020-07-25,US,VT_Lamoille_County,-18,42,1,,,,,,
2020-07-26,US,VT_Lamoille_County,-17,42,1,,,,,,
2020-07-27,US,VT_Lamoille_County,-16,42,1,,,,,,
2020-07-28,US,VT_Lamoille_County,-15,42,1,,,,,,
2020-07-29,US,VT_Lamoille_County,-14,42,1,,,,,,
2020-07-30,US,VT_Lamoille_County,-13,42,1,,,,,,
2020-07-31,US,VT_Lamoille_County,-12,42,1,,,,,,
2020-08-01,US,VT_Lamoille_County,-11,42,1,,,,,,
2020-08-02,US,VT_Lamoille_County,-10,42,1,,,,,,
2020-08-03,US,VT_Lamoille_County,-9,42,1,,,,,,
2020-08-04,US,VT_Lamoille_County,-8,42,1,,,,,,
2020-08-05,US,VT_Lamoille_County,-7,42,1,,,,,,
2020-08-06,US,VT_Lamoille_County,-6,43,1,,,,,,
2020-08-07,US,VT_Lamoille_County,-5,43,1,,,,,,
2020-08-08,US,VT_Lamoille_County,-4,43,1,,,,,,
2020-08-09,US,VT_Lamoille_County,-3,43,1,,,,,,
2020-08-10,US,VT_Lamoille_County,-2,43,1,,,,,,
2020-08-11,US,VT_Lamoille_County,-1,43,1,,,,,,
