date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-16,US,WI_Milwaukee_County,-5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,US,WI_Milwaukee_County,-4,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,US,WI_Milwaukee_County,-3,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,US,WI_Milwaukee_County,-2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,US,WI_Milwaukee_County,-1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,US,WI_Milwaukee_County,0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,US,WI_Milwaukee_County,1,180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,US,WI_Milwaukee_County,2,204.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,US,WI_Milwaukee_County,3,241.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,US,WI_Milwaukee_County,4,322.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,US,WI_Milwaukee_County,5,391.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,WI_Milwaukee_County,6,466.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,WI_Milwaukee_County,7,539.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,WI_Milwaukee_County,8,563.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,WI_Milwaukee_County,9,661.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,WI_Milwaukee_County,10,671.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,WI_Milwaukee_County,11,778.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,WI_Milwaukee_County,12,867.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,WI_Milwaukee_County,13,952.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,WI_Milwaukee_County,14,1067.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,WI_Milwaukee_County,15,1145.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,WI_Milwaukee_County,16,1254.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,WI_Milwaukee_County,17,1320.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,WI_Milwaukee_County,18,1415.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,WI_Milwaukee_County,19,1481.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,WI_Milwaukee_County,20,1573.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,WI_Milwaukee_County,21,1651.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,WI_Milwaukee_County,22,1708.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,WI_Milwaukee_County,23,1740.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,WI_Milwaukee_County,24,1793.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,WI_Milwaukee_County,25,1867.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,WI_Milwaukee_County,26,1944.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,WI_Milwaukee_County,27,2011.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,WI_Milwaukee_County,28,2063.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,WI_Milwaukee_County,29,2148.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,WI_Milwaukee_County,30,2189.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,WI_Milwaukee_County,31,2232.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,WI_Milwaukee_County,32,2302.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,WI_Milwaukee_County,33,2379.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,WI_Milwaukee_County,34,2428.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,WI_Milwaukee_County,35,2523.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,WI_Milwaukee_County,36,2627.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,WI_Milwaukee_County,37,2672.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,WI_Milwaukee_County,38,2720.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,WI_Milwaukee_County,39,2812.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,WI_Milwaukee_County,40,2937.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,WI_Milwaukee_County,41,3042.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,WI_Milwaukee_County,42,3144.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,WI_Milwaukee_County,43,3241.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,WI_Milwaukee_County,44,3294.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,WI_Milwaukee_County,45,3351.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,WI_Milwaukee_County,46,3466.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,WI_Milwaukee_County,47,3570.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,WI_Milwaukee_County,48,3719.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,WI_Milwaukee_County,49,3851.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,WI_Milwaukee_County,50,3950.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,WI_Milwaukee_County,51,4020.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,WI_Milwaukee_County,52,4066.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,WI_Milwaukee_County,53,4212.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,WI_Milwaukee_County,54,4384.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,WI_Milwaukee_County,55,4691.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,WI_Milwaukee_County,56,4934.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,WI_Milwaukee_County,57,4971.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,WI_Milwaukee_County,58,5037.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
