date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,US,WV_Kanawha_County,-22,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,US,WV_Kanawha_County,-21,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,US,WV_Kanawha_County,-20,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,US,WV_Kanawha_County,-19,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,US,WV_Kanawha_County,-18,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,US,WV_Kanawha_County,-17,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,US,WV_Kanawha_County,-16,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,US,WV_Kanawha_County,-15,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,US,WV_Kanawha_County,-14,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,US,WV_Kanawha_County,-13,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,US,WV_Kanawha_County,-12,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,US,WV_Kanawha_County,-11,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-07,US,WV_Kanawha_County,-10,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,WV_Kanawha_County,-9,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,WV_Kanawha_County,-8,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,WV_Kanawha_County,-7,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,WV_Kanawha_County,-6,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,WV_Kanawha_County,-5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,WV_Kanawha_County,-4,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,WV_Kanawha_County,-3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,WV_Kanawha_County,-2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,WV_Kanawha_County,-1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,WV_Kanawha_County,0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,WV_Kanawha_County,1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,WV_Kanawha_County,2,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,WV_Kanawha_County,3,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,US,WV_Kanawha_County,4,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,WV_Kanawha_County,5,137.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,WV_Kanawha_County,6,142.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,WV_Kanawha_County,7,147.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,WV_Kanawha_County,8,148.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,WV_Kanawha_County,9,153.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,WV_Kanawha_County,10,155.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,WV_Kanawha_County,11,157.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,WV_Kanawha_County,12,157.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,WV_Kanawha_County,13,159.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,WV_Kanawha_County,14,160.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,US,WV_Kanawha_County,15,167.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,US,WV_Kanawha_County,16,167.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,US,WV_Kanawha_County,17,168.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,US,WV_Kanawha_County,18,170.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,US,WV_Kanawha_County,19,173.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,US,WV_Kanawha_County,20,176.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,US,WV_Kanawha_County,21,181.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,US,WV_Kanawha_County,22,182.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,US,WV_Kanawha_County,23,183.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,US,WV_Kanawha_County,24,187.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12,US,WV_Kanawha_County,25,187.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-13,US,WV_Kanawha_County,26,189.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-14,US,WV_Kanawha_County,27,202.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-15,US,WV_Kanawha_County,28,202.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-16,US,WV_Kanawha_County,29,211.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-17,US,WV_Kanawha_County,30,211.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-18,US,WV_Kanawha_County,31,211.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19,US,WV_Kanawha_County,32,211.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-20,US,WV_Kanawha_County,33,213.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-21,US,WV_Kanawha_County,34,213.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,US,WV_Kanawha_County,35,224.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-23,US,WV_Kanawha_County,36,224.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-24,US,WV_Kanawha_County,37,225.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-25,US,WV_Kanawha_County,38,226.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,US,WV_Kanawha_County,39,229.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-27,US,WV_Kanawha_County,40,230.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,US,WV_Kanawha_County,41,232.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,US,WV_Kanawha_County,42,237.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,US,WV_Kanawha_County,43,240.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,US,WV_Kanawha_County,44,243.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,US,WV_Kanawha_County,45,243.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,US,WV_Kanawha_County,46,244.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,US,WV_Kanawha_County,47,244.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,US,WV_Kanawha_County,48,245.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,US,WV_Kanawha_County,49,247.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,US,WV_Kanawha_County,50,250.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,US,WV_Kanawha_County,51,251.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,US,WV_Kanawha_County,52,256.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,US,WV_Kanawha_County,53,256.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,US,WV_Kanawha_County,54,256.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,US,WV_Kanawha_County,55,259.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,US,WV_Kanawha_County,56,262.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,US,WV_Kanawha_County,57,262.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
