Continent,Country,Province,pop2016
North America,US,AL_Montgomery_County,226486
North America,US,PA_Montgomery_County,830915
North America,US,GA_Montgomery_County,9172
North America,US,NC_Montgomery_County,27173
North America,US,TN_Montgomery_County,208993
North America,US,IL_Cook_County,5150233
North America,US,CA_San_Mateo_County,766573
North America,US,IL_Montgomery_County,28414
North America,US,CA_Santa_Barbara_County,446499
North America,US,NY_New_York_County,1628706
North America,US,OH_Montgomery_County,531687
North America,US,NY_Montgomery_County,49221
North America,US,IA_Montgomery_County,9917
North America,US,IN_Montgomery_County,38338
North America,US,VA_Montgomery_County,98535
North America,US,MD_Montgomery_County,1050688
North America,US,MN_Cook_County,5463
North America,US,MO_Montgomery_County,11551
North America,US,KY_Montgomery_County,28157
North America,US,MS_Montgomery_County,9775
North America,US,GA_Cook_County,17270
North America,US,AR_Montgomery_County,8986
North America,US,TX_Montgomery_County,607391
North America,US,KS_Montgomery_County,31829
