date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-31,Ukraine,Sumy,-30,17,2,,,,,,
2020-04-01,Ukraine,Sumy,-29,19,2,,,,,,
2020-04-02,Ukraine,Sumy,-28,26,2,,,,,,
2020-04-03,Ukraine,Sumy,-27,37,2,,,,,,
2020-04-04,Ukraine,Sumy,-26,49,2,,,,,,
2020-04-05,Ukraine,Sumy,-25,49,2,,,,,,
2020-04-06,Ukraine,Sumy,-24,51,2,,,,,,
2020-04-07,Ukraine,Sumy,-23,51,2,,,,,,
2020-04-08,Ukraine,Sumy,-22,56,2,,,,,,
2020-04-09,Ukraine,Sumy,-21,56,2,,,,,,
2020-04-10,Ukraine,Sumy,-20,63,2,,,,,,
2020-04-11,Ukraine,Sumy,-19,69,2,,,,,,
2020-04-12,Ukraine,Sumy,-18,73,3,,,,,,
2020-04-13,Ukraine,Sumy,-17,74,4,,,,,,
2020-04-14,Ukraine,Sumy,-16,74,4,,,,,,
2020-04-15,Ukraine,Sumy,-15,77,4,,,,,,
2020-04-16,Ukraine,Sumy,-14,80,4,,,,,,
2020-04-17,Ukraine,Sumy,-13,81,4,,,,,,
2020-04-18,Ukraine,Sumy,-12,82,4,,,,,,
2020-04-19,Ukraine,Sumy,-11,83,4,,,,,,
2020-04-20,Ukraine,Sumy,-10,83,4,,,,,,
2020-04-21,Ukraine,Sumy,-9,84,4,,,,,,
2020-04-22,Ukraine,Sumy,-8,86,4,,,,,,
2020-04-23,Ukraine,Sumy,-7,89,4,,,,,,
2020-04-24,Ukraine,Sumy,-6,90,4,,,,,,
2020-04-25,Ukraine,Sumy,-5,94,4,,,,,,
2020-04-26,Ukraine,Sumy,-4,95,4,,,,,,
2020-04-27,Ukraine,Sumy,-3,95,4,,,,,,
2020-04-28,Ukraine,Sumy,-2,95,4,,,,,,
2020-04-29,Ukraine,Sumy,-1,98,4,,,,,,
2020-04-30,Ukraine,Sumy,0,102,4,,,,,,
2020-05-01,Ukraine,Sumy,1,103,4,,,,,,
2020-05-02,Ukraine,Sumy,2,105,4,,,,,,
2020-05-03,Ukraine,Sumy,3,110,4,,,,,,
2020-05-04,Ukraine,Sumy,4,112,4,,,,,,
2020-05-05,Ukraine,Sumy,5,112,4,,,,,,
2020-05-06,Ukraine,Sumy,6,130,4,,,,,,
2020-05-07,Ukraine,Sumy,7,131,4,,,,,,
2020-05-08,Ukraine,Sumy,8,147,4,,,,,,
2020-05-09,Ukraine,Sumy,9,152,4,,,,,,
2020-05-10,Ukraine,Sumy,10,154,4,,,,,,
2020-05-11,Ukraine,Sumy,11,154,4,,,,,,
2020-05-12,Ukraine,Sumy,12,157,4,,,,,,
2020-05-13,Ukraine,Sumy,13,157,4,,,,,,
2020-05-14,Ukraine,Sumy,14,158,4,,,,,,
2020-05-15,Ukraine,Sumy,15,158,4,,,,,,
2020-05-16,Ukraine,Sumy,16,161,4,,,,,,
2020-05-17,Ukraine,Sumy,17,162,4,,,,,,
2020-05-18,Ukraine,Sumy,18,163,4,,,,,,
2020-05-19,Ukraine,Sumy,19,164,4,,,,,,
2020-05-20,Ukraine,Sumy,20,164,4,,,,,,
2020-05-21,Ukraine,Sumy,21,165,4,,,,,,
2020-05-22,Ukraine,Sumy,22,166,4,,,,,,
2020-05-23,Ukraine,Sumy,23,166,4,,,,,,
2020-05-24,Ukraine,Sumy,24,166,4,,,,,,
2020-05-25,Ukraine,Sumy,25,166,4,,,,,,
2020-05-26,Ukraine,Sumy,26,166,4,,,,,,
2020-05-27,Ukraine,Sumy,27,166,4,,,,,,
2020-05-28,Ukraine,Sumy,28,166,4,,,,,,
2020-05-29,Ukraine,Sumy,29,167,4,,,,,,
2020-05-30,Ukraine,Sumy,30,168,4,,,,,,
2020-05-31,Ukraine,Sumy,31,168,4,,,,,,
2020-06-01,Ukraine,Sumy,32,170,4,,,,,,
2020-06-02,Ukraine,Sumy,33,173,4,,,,,,
2020-06-03,Ukraine,Sumy,34,174,4,,,,,,
2020-06-04,Ukraine,Sumy,35,177,4,,,,,,
2020-06-05,Ukraine,Sumy,36,188,4,,,,,,
2020-06-06,Ukraine,Sumy,37,192,5,,,,,,
2020-06-07,Ukraine,Sumy,38,193,5,,,,,,
2020-06-08,Ukraine,Sumy,39,193,5,,,,,,
2020-06-09,Ukraine,Sumy,40,198,5,,,,,,
2020-06-10,Ukraine,Sumy,41,198,5,,,,,,
2020-06-11,Ukraine,Sumy,42,203,5,,,,,,
2020-06-12,Ukraine,Sumy,43,204,5,,,,,,
2020-06-13,Ukraine,Sumy,44,208,5,,,,,,
2020-06-14,Ukraine,Sumy,45,215,5,,,,,,
2020-06-15,Ukraine,Sumy,46,227,5,,,,,,
2020-06-16,Ukraine,Sumy,47,228,5,,,,,,
2020-06-17,Ukraine,Sumy,48,230,5,,,,,,
2020-06-18,Ukraine,Sumy,49,236,5,,,,,,
2020-06-19,Ukraine,Sumy,50,246,5,,,,,,
2020-06-20,Ukraine,Sumy,51,252,5,,,,,,
