date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-03,United Kingdom,East of England,-10,12,1,,,,,,
2020-03-04,United Kingdom,East of England,-9,19,1,,,,,,
2020-03-05,United Kingdom,East of England,-8,20,1,,,,,,
2020-03-06,United Kingdom,East of England,-7,25,1,,,,,,
2020-03-07,United Kingdom,East of England,-6,28,1,,,,,,
2020-03-08,United Kingdom,East of England,-5,30,1,,,,,,
2020-03-09,United Kingdom,East of England,-4,35,2,,,,,,
2020-03-10,United Kingdom,East of England,-3,51,2,,,,,,
2020-03-11,United Kingdom,East of England,-2,65,2,,,,,,
2020-03-12,United Kingdom,East of England,-1,83,2,,,,,,
2020-03-13,United Kingdom,East of England,0,120,3,,,,,,
2020-03-14,United Kingdom,East of England,1,136,3,,,,,,
2020-03-15,United Kingdom,East of England,2,171,5,,,,,,
2020-03-16,United Kingdom,East of England,3,195,7,,,,,,
2020-03-17,United Kingdom,East of England,4,235,9,,,,,,
2020-03-18,United Kingdom,East of England,5,309,12,,,,,,
2020-03-19,United Kingdom,East of England,6,365,17,,,,,,
2020-03-20,United Kingdom,East of England,7,438,19,,,,,,
2020-03-21,United Kingdom,East of England,8,511,28,,,,,,
2020-03-22,United Kingdom,East of England,9,601,41,,,,,,
2020-03-23,United Kingdom,East of England,10,796,54,,,,,,
2020-03-24,United Kingdom,East of England,11,961,76,,,,,,
2020-03-25,United Kingdom,East of England,12,1149,98,,,,,,
2020-03-26,United Kingdom,East of England,13,1364,132,,,,,,
2020-03-27,United Kingdom,East of England,14,1607,172,,,,,,
2020-03-28,United Kingdom,East of England,15,1790,209,,,,,,
2020-03-29,United Kingdom,East of England,16,1998,258,,,,,,
2020-03-30,United Kingdom,East of England,17,2298,307,,,,,,
2020-03-31,United Kingdom,East of England,18,2620,380,,,,,,
2020-04-01,United Kingdom,East of England,19,2953,454,,,,,,
2020-04-02,United Kingdom,East of England,20,3325,524,,,,,,
2020-04-03,United Kingdom,East of England,21,3678,610,,,,,,
2020-04-04,United Kingdom,East of England,22,3947,681,,,,,,
2020-04-05,United Kingdom,East of England,23,4227,770,,,,,,
2020-04-06,United Kingdom,East of England,24,4612,846,,,,,,
2020-04-07,United Kingdom,East of England,25,5001,957,,,,,,
2020-04-08,United Kingdom,East of England,26,5408,1071,,,,,,
2020-04-09,United Kingdom,East of England,27,5735,1147,,,,,,
2020-04-10,United Kingdom,East of England,28,6055,1211,,,,,,
2020-04-11,United Kingdom,East of England,29,6326,1265,,,,,,
2020-04-12,United Kingdom,East of England,30,6587,1317,,,,,,
2020-04-13,United Kingdom,East of England,31,6878,1375,,,,,,
2020-04-14,United Kingdom,East of England,32,7167,1433,,,,,,
2020-04-15,United Kingdom,East of England,33,7462,1492,,,,,,
2020-04-16,United Kingdom,East of England,34,7798,1559,,,,,,
2020-04-17,United Kingdom,East of England,35,8163,1632,,,,,,
2020-04-18,United Kingdom,East of England,36,8491,1698,,,,,,
2020-04-19,United Kingdom,East of England,37,8808,1761,,,,,,
2020-04-20,United Kingdom,East of England,38,9168,1833,,,,,,
2020-04-21,United Kingdom,East of England,39,9574,1914,,,,,,
2020-04-22,United Kingdom,East of England,40,10097,2019,,,,,,
2020-04-23,United Kingdom,East of England,41,10573,2114,,,,,,
2020-04-24,United Kingdom,East of England,42,10996,2199,,,,,,
2020-04-25,United Kingdom,East of England,43,11373,2274,,,,,,
2020-04-26,United Kingdom,East of England,44,11731,2346,,,,,,
2020-04-27,United Kingdom,East of England,45,12241,2448,,,,,,
2020-04-28,United Kingdom,East of England,46,12703,2540,,,,,,
2020-04-29,United Kingdom,East of England,47,13178,2635,,,,,,
2020-04-30,United Kingdom,East of England,48,13602,2720,,,,,,
2020-05-01,United Kingdom,East of England,49,14095,2810,,,,,,
2020-05-02,United Kingdom,East of England,50,14397,2848,,,,,,
2020-05-03,United Kingdom,East of England,51,14714,2902,,,,,,
2020-05-04,United Kingdom,East of England,52,15106,2938,,,,,,
2020-05-05,United Kingdom,East of England,53,15435,2986,,,,,,
2020-05-06,United Kingdom,East of England,54,15823,3037,,,,,,
2020-05-07,United Kingdom,East of England,55,16219,3086,,,,,,
2020-05-08,United Kingdom,East of England,56,16448,3122,,,,,,
2020-05-09,United Kingdom,East of England,57,16651,3162,,,,,,
2020-05-10,United Kingdom,East of England,58,16860,3196,,,,,,
2020-05-11,United Kingdom,East of England,59,17253,3221,,,,,,
2020-05-12,United Kingdom,East of England,60,17568,3256,,,,,,
2020-05-13,United Kingdom,East of England,61,17898,3291,,,,,,
2020-05-14,United Kingdom,East of England,62,18115,3324,,,,,,
2020-05-15,United Kingdom,East of England,63,18324,3354,,,,,,
2020-05-16,United Kingdom,East of England,64,18497,3389,,,,,,
2020-05-17,United Kingdom,East of England,65,18650,3422,,,,,,
2020-05-18,United Kingdom,East of England,66,18933,3461,,,,,,
2020-05-19,United Kingdom,East of England,67,19187,3483,,,,,,
2020-05-20,United Kingdom,East of England,68,19430,3524,,,,,,
2020-05-21,United Kingdom,East of England,69,19675,3548,,,,,,
2020-05-22,United Kingdom,East of England,70,19865,3572,,,,,,
2020-05-23,United Kingdom,East of England,71,20015,3597,,,,,,
2020-05-24,United Kingdom,East of England,72,20118,3622,,,,,,
2020-05-25,United Kingdom,East of England,73,20265,3649,,,,,,
2020-05-26,United Kingdom,East of England,74,20415,3671,,,,,,
