date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-24,United Kingdom,England,-7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,United Kingdom,England,-6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,United Kingdom,England,-5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,United Kingdom,England,-4,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,United Kingdom,England,-3,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,United Kingdom,England,-2,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,United Kingdom,England,-1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,United Kingdom,England,0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,United Kingdom,England,1,155.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,United Kingdom,England,2,204.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,United Kingdom,England,3,251.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,United Kingdom,England,4,323.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,United Kingdom,England,5,376.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,United Kingdom,England,6,427.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,United Kingdom,England,7,551.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,United Kingdom,England,8,773.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,United Kingdom,England,9,1127.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,United Kingdom,England,10,1541.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,United Kingdom,England,11,1934.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,United Kingdom,England,12,2248.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,United Kingdom,England,13,2646.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,United Kingdom,England,14,3192.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,United Kingdom,England,15,3870.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,United Kingdom,England,16,4780.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,United Kingdom,England,17,5710.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,United Kingdom,England,18,6792.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,United Kingdom,England,19,7827.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,United Kingdom,England,20,9036.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,United Kingdom,England,21,11052.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,United Kingdom,England,22,13075.0,1096.0,0.0,0.0,0.0,0.0,0.0,0.0
