date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-08,United Kingdom,Northern Ireland,-11,13,0,,,,,,
2020-03-09,United Kingdom,Northern Ireland,-10,16,0,,,,,,
2020-03-10,United Kingdom,Northern Ireland,-9,21,0,,,,,,
2020-03-11,United Kingdom,Northern Ireland,-8,32,0,,,,,,
2020-03-12,United Kingdom,Northern Ireland,-7,36,0,,,,,,
2020-03-13,United Kingdom,Northern Ireland,-6,47,0,,,,,,
2020-03-14,United Kingdom,Northern Ireland,-5,57,0,,,,,,
2020-03-15,United Kingdom,Northern Ireland,-4,59,0,,,,,,
2020-03-16,United Kingdom,Northern Ireland,-3,67,0,,,,,,
2020-03-17,United Kingdom,Northern Ireland,-2,76,0,,,,,,
2020-03-18,United Kingdom,Northern Ireland,-1,89,1,,,,,,
2020-03-19,United Kingdom,Northern Ireland,0,103,2,,,,,,
2020-03-20,United Kingdom,Northern Ireland,1,120,2,,,,,,
2020-03-21,United Kingdom,Northern Ireland,2,141,3,,,,,,
2020-03-22,United Kingdom,Northern Ireland,3,159,4,,,,,,
2020-03-23,United Kingdom,Northern Ireland,4,200,9,,,,,,
2020-03-24,United Kingdom,Northern Ireland,5,241,11,,,,,,
2020-03-25,United Kingdom,Northern Ireland,6,297,15,,,,,,
2020-03-26,United Kingdom,Northern Ireland,7,373,17,,,,,,
2020-03-27,United Kingdom,Northern Ireland,8,441,20,,,,,,
2020-03-28,United Kingdom,Northern Ireland,9,517,28,,,,,,
2020-03-29,United Kingdom,Northern Ireland,10,579,32,,,,,,
2020-03-30,United Kingdom,Northern Ireland,11,663,36,,,,,,
2020-03-31,United Kingdom,Northern Ireland,12,775,41,,,,,,
2020-04-01,United Kingdom,Northern Ireland,13,878,45,,,,,,
2020-04-02,United Kingdom,Northern Ireland,14,983,55,,,,,,
2020-04-03,United Kingdom,Northern Ireland,15,1086,65,,,,,,
2020-04-04,United Kingdom,Northern Ireland,16,1173,74,,,,,,
2020-04-05,United Kingdom,Northern Ireland,17,1233,85,,,,,,
2020-04-06,United Kingdom,Northern Ireland,18,1338,91,,,,,,
2020-04-07,United Kingdom,Northern Ireland,19,1467,99,,,,,,
2020-04-08,United Kingdom,Northern Ireland,20,1569,103,,,,,,
2020-04-09,United Kingdom,Northern Ireland,21,1669,121,,,,,,
2020-04-10,United Kingdom,Northern Ireland,22,1763,132,,,,,,
2020-04-11,United Kingdom,Northern Ireland,23,1830,143,,,,,,
2020-04-12,United Kingdom,Northern Ireland,24,1903,159,,,,,,
2020-04-13,United Kingdom,Northern Ireland,25,2010,166,,,,,,
2020-04-14,United Kingdom,Northern Ireland,26,2105,178,,,,,,
2020-04-15,United Kingdom,Northern Ireland,27,2238,194,,,,,,
2020-04-16,United Kingdom,Northern Ireland,28,2376,205,,,,,,
2020-04-17,United Kingdom,Northern Ireland,29,2531,214,,,,,,
2020-04-18,United Kingdom,Northern Ireland,30,2616,224,,,,,,
2020-04-19,United Kingdom,Northern Ireland,31,2657,234,,,,,,
2020-04-20,United Kingdom,Northern Ireland,32,2769,246,,,,,,
2020-04-21,United Kingdom,Northern Ireland,33,2900,259,,,,,,
2020-04-22,United Kingdom,Northern Ireland,34,2996,278,,,,,,
2020-04-23,United Kingdom,Northern Ireland,35,3068,294,,,,,,
2020-04-24,United Kingdom,Northern Ireland,36,3151,305,,,,,,
2020-04-25,United Kingdom,Northern Ireland,37,3205,320,,,,,,
2020-04-26,United Kingdom,Northern Ireland,38,3250,334,,,,,,
2020-04-27,United Kingdom,Northern Ireland,39,3321,347,,,,,,
2020-04-28,United Kingdom,Northern Ireland,40,3395,353,,,,,,
2020-04-29,United Kingdom,Northern Ireland,41,3486,367,,,,,,
2020-04-30,United Kingdom,Northern Ireland,42,3602,375,,,,,,
2020-05-01,United Kingdom,Northern Ireland,43,3699,387,,,,,,
2020-05-02,United Kingdom,Northern Ireland,44,3789,399,,,,,,
2020-05-03,United Kingdom,Northern Ireland,45,3843,410,,,,,,
