date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-03,United Kingdom,Yorkshire and the Humber,-12,13,0,,,,,,
2020-03-04,United Kingdom,Yorkshire and the Humber,-11,15,0,,,,,,
2020-03-05,United Kingdom,Yorkshire and the Humber,-10,17,0,,,,,,
2020-03-06,United Kingdom,Yorkshire and the Humber,-9,18,0,,,,,,
2020-03-07,United Kingdom,Yorkshire and the Humber,-8,23,0,,,,,,
2020-03-08,United Kingdom,Yorkshire and the Humber,-7,26,0,,,,,,
2020-03-09,United Kingdom,Yorkshire and the Humber,-6,33,0,,,,,,
2020-03-10,United Kingdom,Yorkshire and the Humber,-5,51,0,,,,,,
2020-03-11,United Kingdom,Yorkshire and the Humber,-4,61,0,,,,,,
2020-03-12,United Kingdom,Yorkshire and the Humber,-3,75,1,,,,,,
2020-03-13,United Kingdom,Yorkshire and the Humber,-2,87,1,,,,,,
2020-03-14,United Kingdom,Yorkshire and the Humber,-1,99,1,,,,,,
2020-03-15,United Kingdom,Yorkshire and the Humber,0,109,3,,,,,,
2020-03-16,United Kingdom,Yorkshire and the Humber,1,137,5,,,,,,
2020-03-17,United Kingdom,Yorkshire and the Humber,2,168,7,,,,,,
2020-03-18,United Kingdom,Yorkshire and the Humber,3,215,9,,,,,,
2020-03-19,United Kingdom,Yorkshire and the Humber,4,270,10,,,,,,
2020-03-20,United Kingdom,Yorkshire and the Humber,5,329,12,,,,,,
2020-03-21,United Kingdom,Yorkshire and the Humber,6,406,14,,,,,,
2020-03-22,United Kingdom,Yorkshire and the Humber,7,501,16,,,,,,
2020-03-23,United Kingdom,Yorkshire and the Humber,8,645,22,,,,,,
2020-03-24,United Kingdom,Yorkshire and the Humber,9,802,29,,,,,,
2020-03-25,United Kingdom,Yorkshire and the Humber,10,952,38,,,,,,
2020-03-26,United Kingdom,Yorkshire and the Humber,11,1129,53,,,,,,
2020-03-27,United Kingdom,Yorkshire and the Humber,12,1282,73,,,,,,
2020-03-28,United Kingdom,Yorkshire and the Humber,13,1489,96,,,,,,
2020-03-29,United Kingdom,Yorkshire and the Humber,14,1717,125,,,,,,
2020-03-30,United Kingdom,Yorkshire and the Humber,15,2002,155,,,,,,
2020-03-31,United Kingdom,Yorkshire and the Humber,16,2321,192,,,,,,
2020-04-01,United Kingdom,Yorkshire and the Humber,17,2618,234,,,,,,
2020-04-02,United Kingdom,Yorkshire and the Humber,18,2860,277,,,,,,
2020-04-03,United Kingdom,Yorkshire and the Humber,19,3153,330,,,,,,
2020-04-04,United Kingdom,Yorkshire and the Humber,20,3355,399,,,,,,
2020-04-05,United Kingdom,Yorkshire and the Humber,21,3571,451,,,,,,
2020-04-06,United Kingdom,Yorkshire and the Humber,22,3891,507,,,,,,
2020-04-07,United Kingdom,Yorkshire and the Humber,23,4228,567,,,,,,
2020-04-08,United Kingdom,Yorkshire and the Humber,24,4546,643,,,,,,
2020-04-09,United Kingdom,Yorkshire and the Humber,25,4850,714,,,,,,
2020-04-10,United Kingdom,Yorkshire and the Humber,26,5149,785,,,,,,
2020-04-11,United Kingdom,Yorkshire and the Humber,27,5410,844,,,,,,
2020-04-12,United Kingdom,Yorkshire and the Humber,28,5679,906,,,,,,
2020-04-13,United Kingdom,Yorkshire and the Humber,29,6005,970,,,,,,
2020-04-14,United Kingdom,Yorkshire and the Humber,30,6320,1033,,,,,,
2020-04-15,United Kingdom,Yorkshire and the Humber,31,6794,1113,,,,,,
2020-04-16,United Kingdom,Yorkshire and the Humber,32,7168,1195,,,,,,
2020-04-17,United Kingdom,Yorkshire and the Humber,33,7518,1266,,,,,,
2020-04-18,United Kingdom,Yorkshire and the Humber,34,7881,1328,,,,,,
2020-04-19,United Kingdom,Yorkshire and the Humber,35,8298,1392,,,,,,
2020-04-20,United Kingdom,Yorkshire and the Humber,36,8698,1465,,,,,,
2020-04-21,United Kingdom,Yorkshire and the Humber,37,9048,1530,,,,,,
2020-04-22,United Kingdom,Yorkshire and the Humber,38,9611,1598,,,,,,
2020-04-23,United Kingdom,Yorkshire and the Humber,39,10061,1650,,,,,,
2020-04-24,United Kingdom,Yorkshire and the Humber,40,10653,1721,,,,,,
2020-04-25,United Kingdom,Yorkshire and the Humber,41,11067,1782,,,,,,
2020-04-26,United Kingdom,Yorkshire and the Humber,42,11489,1845,,,,,,
2020-04-27,United Kingdom,Yorkshire and the Humber,43,11999,1912,,,,,,
2020-04-28,United Kingdom,Yorkshire and the Humber,44,12486,1970,,,,,,
2020-04-29,United Kingdom,Yorkshire and the Humber,45,13199,2043,,,,,,
2020-04-30,United Kingdom,Yorkshire and the Humber,46,13778,2101,,,,,,
2020-05-01,United Kingdom,Yorkshire and the Humber,47,14399,2155,,,,,,
2020-05-02,United Kingdom,Yorkshire and the Humber,48,14784,2211,,,,,,
2020-05-03,United Kingdom,Yorkshire and the Humber,49,15168,2257,,,,,,
2020-05-04,United Kingdom,Yorkshire and the Humber,50,15519,2311,,,,,,
2020-05-05,United Kingdom,Yorkshire and the Humber,51,15959,2362,,,,,,
2020-05-06,United Kingdom,Yorkshire and the Humber,52,16373,2413,,,,,,
2020-05-07,United Kingdom,Yorkshire and the Humber,53,16832,2471,,,,,,
2020-05-08,United Kingdom,Yorkshire and the Humber,54,17184,2518,,,,,,
2020-05-09,United Kingdom,Yorkshire and the Humber,55,17429,2555,,,,,,
2020-05-10,United Kingdom,Yorkshire and the Humber,56,17726,2602,,,,,,
2020-05-11,United Kingdom,Yorkshire and the Humber,57,18152,2631,,,,,,
2020-05-12,United Kingdom,Yorkshire and the Humber,58,18527,2659,,,,,,
2020-05-13,United Kingdom,Yorkshire and the Humber,59,18932,2695,,,,,,
2020-05-14,United Kingdom,Yorkshire and the Humber,60,19287,2735,,,,,,
2020-05-15,United Kingdom,Yorkshire and the Humber,61,19624,2778,,,,,,
2020-05-16,United Kingdom,Yorkshire and the Humber,62,19883,2812,,,,,,
2020-05-17,United Kingdom,Yorkshire and the Humber,63,20127,2835,,,,,,
2020-05-18,United Kingdom,Yorkshire and the Humber,64,20388,2868,,,,,,
2020-05-19,United Kingdom,Yorkshire and the Humber,65,20776,2894,,,,,,
2020-05-20,United Kingdom,Yorkshire and the Humber,66,21071,2923,,,,,,
2020-05-21,United Kingdom,Yorkshire and the Humber,67,21454,2949,,,,,,
2020-05-22,United Kingdom,Yorkshire and the Humber,68,21721,2976,,,,,,
2020-05-23,United Kingdom,Yorkshire and the Humber,69,21956,2998,,,,,,
2020-05-24,United Kingdom,Yorkshire and the Humber,70,22160,3022,,,,,,
2020-05-25,United Kingdom,Yorkshire and the Humber,71,22414,3053,,,,,,
2020-05-26,United Kingdom,Yorkshire and the Humber,72,22646,3075,,,,,,
2020-05-27,United Kingdom,Yorkshire and the Humber,73,22900,3100,,,,,,
2020-05-28,United Kingdom,Yorkshire and the Humber,74,23174,3126,,,,,,
2020-05-29,United Kingdom,Yorkshire and the Humber,75,23373,3146,,,,,,
2020-05-30,United Kingdom,Yorkshire and the Humber,76,23537,3173,,,,,,
2020-05-31,United Kingdom,Yorkshire and the Humber,77,23714,3194,,,,,,
2020-06-01,United Kingdom,Yorkshire and the Humber,78,23905,3219,,,,,,
2020-06-02,United Kingdom,Yorkshire and the Humber,79,24102,3242,,,,,,
2020-06-03,United Kingdom,Yorkshire and the Humber,80,24309,3262,,,,,,
2020-06-04,United Kingdom,Yorkshire and the Humber,81,24488,3276,,,,,,
2020-06-05,United Kingdom,Yorkshire and the Humber,82,24643,3288,,,,,,
2020-06-06,United Kingdom,Yorkshire and the Humber,83,24764,3306,,,,,,
